ID,Treatment,Bio_Rep,Plant,Concentration,Time_Inoc,Time_Measurement,Time_Inoc2,Time_Measurement2,DAI,Date,Root_Length,Comment,No.growth
Water_R1_3_15mM_D03_D04,Water,R1,3,15mM,D03,D04,3,4,1,23.09.25,2.714,,
Water_R1_4_15mM_D03_D04,Water,R1,4,15mM,D03,D04,3,4,1,23.09.25,2.573,,
Water_R1_5_15mM_D03_D04,Water,R1,5,15mM,D03,D04,3,4,1,23.09.25,2.332,,
Water_R1_6_15mM_D03_D04,Water,R1,6,15mM,D03,D04,3,4,1,23.09.25,1.198,,No growth
Water_R1_7_15mM_D03_D04,Water,R1,7,15mM,D03,D04,3,4,1,23.09.25,1.985,,
Water_R1_8_15mM_D03_D04,Water,R1,8,15mM,D03,D04,3,4,1,23.09.25,2.58,,
Water_R1_9_15mM_D03_D04,Water,R1,9,15mM,D03,D04,3,4,1,23.09.25,1.775,,
Water_R1_10_15mM_D03_D04,Water,R1,10,15mM,D03,D04,3,4,1,23.09.25,1.397,,
Water_R1_11_15mM_D03_D04,Water,R1,11,15mM,D03,D04,3,4,1,23.09.25,1.954,,
Water_R1_12_15mM_D03_D04,Water,R1,12,15mM,D03,D04,3,4,1,23.09.25,2.491,,
3OMG_R1_1_15mM_D0_D05,3OMG,R0,1,15mM,D0,D05,0,5,5,24.09.25,7.12,,
3OMG_R1_2_15mM_D0_D05,3OMG,R0,2,15mM,D0,D05,0,5,5,24.09.25,8.418,,
3OMG_R1_3_15mM_D0_D05,3OMG,R0,3,15mM,D0,D05,0,5,5,24.09.25,9.127,,
3OMG_R1_4_15mM_D0_D05,3OMG,R0,4,15mM,D0,D05,0,5,5,24.09.25,7.87,,
3OMG_R1_5_15mM_D0_D05,3OMG,R0,5,15mM,D0,D05,0,5,5,24.09.25,5.851,,
3OMG_R1_6_15mM_D0_D05,3OMG,R0,6,15mM,D0,D05,0,5,5,24.09.25,6.412,,
3OMG_R1_7_15mM_D0_D05,3OMG,R0,7,15mM,D0,D05,0,5,5,24.09.25,6.834,,
3OMG_R1_8_15mM_D0_D05,3OMG,R0,8,15mM,D0,D05,0,5,5,24.09.25,8.557,,
3OMG_R1_9_15mM_D0_D05,3OMG,R0,9,15mM,D0,D05,0,5,5,24.09.25,7.72,,
3OMG_R1_10_15mM_D0_D05,3OMG,R0,10,15mM,D0,D05,0,5,5,24.09.25,8.319,,
3OMG_R1_11_15mM_D0_D05,3OMG,R0,11,15mM,D0,D05,0,5,5,24.09.25,8.902,,
3OMG_R1_12_15mM_D0_D05,3OMG,R0,12,15mM,D0,D05,0,5,5,24.09.25,9.631,,
Water_R1_1_15mM_D0_D05,Water,R0,1,15mM,D0,D05,0,5,5,24.09.25,7.313,,
Water_R1_2_15mM_D0_D05,Water,R0,2,15mM,D0,D05,0,5,5,24.09.25,7.954,,
Water_R1_3_15mM_D0_D05,Water,R0,3,15mM,D0,D05,0,5,5,24.09.25,8.86,,
Water_R1_4_15mM_D0_D05,Water,R0,4,15mM,D0,D05,0,5,5,24.09.25,8.009,,
Water_R1_5_15mM_D0_D05,Water,R0,5,15mM,D0,D05,0,5,5,24.09.25,7.944,,
Water_R1_6_15mM_D0_D05,Water,R0,6,15mM,D0,D05,0,5,5,24.09.25,9.974,,
Water_R1_7_15mM_D0_D05,Water,R0,7,15mM,D0,D05,0,5,5,24.09.25,1.255,,
Water_R1_8_15mM_D0_D05,Water,R0,8,15mM,D0,D05,0,5,5,24.09.25,7.674,,
Water_R1_9_15mM_D0_D05,Water,R0,9,15mM,D0,D05,0,5,5,24.09.25,9.313,,
Water_R1_10_15mM_D0_D05,Water,R0,10,15mM,D0,D05,0,5,5,24.09.25,10.651,,
Water_R1_11_15mM_D0_D05,Water,R0,11,15mM,D0,D05,0,5,5,24.09.25,9.4,,
Water_R1_12_15mM_D0_D05,Water,R0,12,15mM,D0,D05,0,5,5,24.09.25,8.761,,
3OMG_R1_1_15mM_D03_D05,3OMG,R1,1,15mM,D03,D05,3,5,2,24.09.25,4.343,,
3OMG_R1_2_15mM_D03_D05,3OMG,R1,2,15mM,D03,D05,3,5,2,24.09.25,3.555,,
3OMG_R1_3_15mM_D03_D05,3OMG,R1,3,15mM,D03,D05,3,5,2,24.09.25,3.54,,
3OMG_R1_4_15mM_D03_D05,3OMG,R1,4,15mM,D03,D05,3,5,2,24.09.25,5.322,,
3OMG_R1_5_15mM_D03_D05,3OMG,R1,5,15mM,D03,D05,3,5,2,24.09.25,4.288,,
3OMG_R1_6_15mM_D03_D05,3OMG,R1,6,15mM,D03,D05,3,5,2,24.09.25,7.937,,
3OMG_R1_7_15mM_D03_D05,3OMG,R1,7,15mM,D03,D05,3,5,2,24.09.25,4.615,,
3OMG_R1_8_15mM_D03_D05,3OMG,R1,8,15mM,D03,D05,3,5,2,24.09.25,0.881,,No growth
3OMG_R1_9_15mM_D03_D05,3OMG,R1,9,15mM,D03,D05,3,5,2,24.09.25,6.249,,
3OMG_R1_10_15mM_D03_D05,3OMG,R1,10,15mM,D03,D05,3,5,2,24.09.25,4.156,,
3OMG_R1_11_15mM_D03_D05,3OMG,R1,11,15mM,D03,D05,3,5,2,24.09.25,5.343,,
3OMG_R1_12_15mM_D03_D05,3OMG,R1,12,15mM,D03,D05,3,5,2,24.09.25,4.443,,
Water_R1_1_15mM_D03_D05,Water,R1,1,15mM,D03,D05,3,5,2,24.09.25,5.726,,
Water_R1_2_15mM_D03_D05,Water,R1,2,15mM,D03,D05,3,5,2,24.09.25,5.762,,
Water_R1_3_15mM_D03_D05,Water,R1,3,15mM,D03,D05,3,5,2,24.09.25,5.75,,
Water_R1_4_15mM_D03_D05,Water,R1,4,15mM,D03,D05,3,5,2,24.09.25,6.171,,
Water_R1_5_15mM_D03_D05,Water,R1,5,15mM,D03,D05,3,5,2,24.09.25,5.554,,
Water_R1_6_15mM_D03_D05,Water,R1,6,15mM,D03,D05,3,5,2,24.09.25,0.997,,No growth
Water_R1_7_15mM_D03_D05,Water,R1,7,15mM,D03,D05,3,5,2,24.09.25,3.615,,
Water_R1_8_15mM_D03_D05,Water,R1,8,15mM,D03,D05,3,5,2,24.09.25,5.318,,
Water_R1_9_15mM_D03_D05,Water,R1,9,15mM,D03,D05,3,5,2,24.09.25,4.893,,
Water_R1_10_15mM_D03_D05,Water,R1,10,15mM,D03,D05,3,5,2,24.09.25,4.194,,
Water_R1_11_15mM_D03_D05,Water,R1,11,15mM,D03,D05,3,5,2,24.09.25,4.409,,
Water_R1_12_15mM_D03_D05,Water,R1,12,15mM,D03,D05,3,5,2,24.09.25,5.635,,
3OMG_R1_1_15mM_D0_D06,3OMG,R0,1,15mM,D0,D06,0,6,6,25.09.25,11.492,,
3OMG_R1_2_15mM_D0_D06,3OMG,R0,2,15mM,D0,D06,0,6,6,25.09.25,12.056,,
3OMG_R1_3_15mM_D0_D06,3OMG,R0,3,15mM,D0,D06,0,6,6,25.09.25,12.482,,
3OMG_R1_4_15mM_D0_D06,3OMG,R0,4,15mM,D0,D06,0,6,6,25.09.25,11.685,,
3OMG_R1_5_15mM_D0_D06,3OMG,R0,5,15mM,D0,D06,0,6,6,25.09.25,7.849,,
3OMG_R1_6_15mM_D0_D06,3OMG,R0,6,15mM,D0,D06,0,6,6,25.09.25,9.949,,
3OMG_R1_7_15mM_D0_D06,3OMG,R0,7,15mM,D0,D06,0,6,6,25.09.25,9.145,,
3OMG_R1_8_15mM_D0_D06,3OMG,R0,8,15mM,D0,D06,0,6,6,25.09.25,12.382,,
3OMG_R1_9_15mM_D0_D06,3OMG,R0,9,15mM,D0,D06,0,6,6,25.09.25,9.945,,
3OMG_R1_10_15mM_D0_D06,3OMG,R0,10,15mM,D0,D06,0,6,6,25.09.25,12.468,,
3OMG_R1_11_15mM_D0_D06,3OMG,R0,11,15mM,D0,D06,0,6,6,25.09.25,13.35,,
3OMG_R1_12_15mM_D0_D06,3OMG,R0,12,15mM,D0,D06,0,6,6,25.09.25,13.718,,
Water_R1_1_15mM_D0_D06,Water,R0,1,15mM,D0,D06,0,6,6,25.09.25,11.505,,
Water_R1_2_15mM_D0_D06,Water,R0,2,15mM,D0,D06,0,6,6,25.09.25,12.207,,
Water_R1_3_15mM_D0_D06,Water,R0,3,15mM,D0,D06,0,6,6,25.09.25,12.139,,
Water_R1_4_15mM_D0_D06,Water,R0,4,15mM,D0,D06,0,6,6,25.09.25,11.43,,
Water_R1_5_15mM_D0_D06,Water,R0,5,15mM,D0,D06,0,6,6,25.09.25,11.833,,
Water_R1_6_15mM_D0_D06,Water,R0,6,15mM,D0,D06,0,6,6,25.09.25,14.286,,
Water_R1_7_15mM_D0_D06,Water,R0,7,15mM,D0,D06,0,6,6,25.09.25,1.648,,
Water_R1_8_15mM_D0_D06,Water,R0,8,15mM,D0,D06,0,6,6,25.09.25,12.48,,
Water_R1_9_15mM_D0_D06,Water,R0,9,15mM,D0,D06,0,6,6,25.09.25,14.271,,
Water_R1_10_15mM_D0_D06,Water,R0,10,15mM,D0,D06,0,6,6,25.09.25,15.581,,
Water_R1_11_15mM_D0_D06,Water,R0,11,15mM,D0,D06,0,6,6,25.09.25,14.503,,
Water_R1_12_15mM_D0_D06,Water,R0,12,15mM,D0,D06,0,6,6,25.09.25,13.15,,
3OMG_R1_1_15mM_D03_D06,3OMG,R1,1,15mM,D03,D06,3,6,3,25.09.25,7.804,,
3OMG_R1_2_15mM_D03_D06,3OMG,R1,2,15mM,D03,D06,3,6,3,25.09.25,6.851,,
3OMG_R1_3_15mM_D03_D06,3OMG,R1,3,15mM,D03,D06,3,6,3,25.09.25,7.094,,
3OMG_R1_4_15mM_D03_D06,3OMG,R1,4,15mM,D03,D06,3,6,3,25.09.25,9.271,,
3OMG_R1_5_15mM_D03_D06,3OMG,R1,5,15mM,D03,D06,3,6,3,25.09.25,8.844,,
3OMG_R1_6_15mM_D03_D06,3OMG,R1,6,15mM,D03,D06,3,6,3,25.09.25,9.309,,
3OMG_R1_7_15mM_D03_D06,3OMG,R1,7,15mM,D03,D06,3,6,3,25.09.25,8.751,,
3OMG_R1_8_15mM_D03_D06,3OMG,R1,8,15mM,D03,D06,3,6,3,25.09.25,1.188,,No growth
3OMG_R1_9_15mM_D03_D06,3OMG,R1,9,15mM,D03,D06,3,6,3,25.09.25,10.621,,
3OMG_R1_10_15mM_D03_D06,3OMG,R1,10,15mM,D03,D06,3,6,3,25.09.25,6.977,,
3OMG_R1_11_15mM_D03_D06,3OMG,R1,11,15mM,D03,D06,3,6,3,25.09.25,10.238,,
3OMG_R1_12_15mM_D03_D06,3OMG,R1,12,15mM,D03,D06,3,6,3,25.09.25,8.062,,
Water_R1_1_15mM_D03_D06,Water,R1,1,15mM,D03,D06,3,6,3,25.09.25,10.602,,
Water_R1_2_15mM_D03_D06,Water,R1,2,15mM,D03,D06,3,6,3,25.09.25,9.672,,
Water_R1_3_15mM_D03_D06,Water,R1,3,15mM,D03,D06,3,6,3,25.09.25,9.253,,
Water_R1_4_15mM_D03_D06,Water,R1,4,15mM,D03,D06,3,6,3,25.09.25,11.047,,
Water_R1_5_15mM_D03_D06,Water,R1,5,15mM,D03,D06,3,6,3,25.09.25,8.936,,
Water_R1_6_15mM_D03_D06,Water,R1,6,15mM,D03,D06,3,6,3,25.09.25,1.156,,No growth
Water_R1_7_15mM_D03_D06,Water,R1,7,15mM,D03,D06,3,6,3,25.09.25,7.002,,
Water_R1_8_15mM_D03_D06,Water,R1,8,15mM,D03,D06,3,6,3,25.09.25,9.438,,
Water_R1_9_15mM_D03_D06,Water,R1,9,15mM,D03,D06,3,6,3,25.09.25,9.298,,
Water_R1_10_15mM_D03_D06,Water,R1,10,15mM,D03,D06,3,6,3,25.09.25,7.472,,
Water_R1_11_15mM_D03_D06,Water,R1,11,15mM,D03,D06,3,6,3,25.09.25,8.022,,
Water_R1_12_15mM_D03_D06,Water,R1,12,15mM,D03,D06,3,6,3,25.09.25,10.139,,
3OMG_R1_1_15mM_D0_D07,3OMG,R0,1,15mM,D0,D07,0,7,7,26.09.25,14.228,,
3OMG_R1_2_15mM_D0_D07,3OMG,R0,2,15mM,D0,D07,0,7,7,26.09.25,16.087,,
3OMG_R1_3_15mM_D0_D07,3OMG,R0,3,15mM,D0,D07,0,7,7,26.09.25,16.745,,
3OMG_R1_4_15mM_D0_D07,3OMG,R0,4,15mM,D0,D07,0,7,7,26.09.25,14.551,,
3OMG_R1_5_15mM_D0_D07,3OMG,R0,5,15mM,D0,D07,0,7,7,26.09.25,12.091,,
3OMG_R1_6_15mM_D0_D07,3OMG,R0,6,15mM,D0,D07,0,7,7,26.09.25,14.23,,
3OMG_R1_7_15mM_D0_D07,3OMG,R0,7,15mM,D0,D07,0,7,7,26.09.25,13.208,,
3OMG_R1_8_15mM_D0_D07,3OMG,R0,8,15mM,D0,D07,0,7,7,26.09.25,16.477,,
3OMG_R1_9_15mM_D0_D07,3OMG,R0,9,15mM,D0,D07,0,7,7,26.09.25,15.575,,
3OMG_R1_10_15mM_D0_D07,3OMG,R0,10,15mM,D0,D07,0,7,7,26.09.25,16.73,,
3OMG_R1_11_15mM_D0_D07,3OMG,R0,11,15mM,D0,D07,0,7,7,26.09.25,17.943,,
3OMG_R1_12_15mM_D0_D07,3OMG,R0,12,15mM,D0,D07,0,7,7,26.09.25,18.423,,
Water_R1_1_15mM_D0_D07,Water,R0,1,15mM,D0,D07,0,7,7,26.09.25,16.053,,
Water_R1_2_15mM_D0_D07,Water,R0,2,15mM,D0,D07,0,7,7,26.09.25,16.572,,
Water_R1_3_15mM_D0_D07,Water,R0,3,15mM,D0,D07,0,7,7,26.09.25,17.289,,
Water_R1_4_15mM_D0_D07,Water,R0,4,15mM,D0,D07,0,7,7,26.09.25,15.578,,
Water_R1_5_15mM_D0_D07,Water,R0,5,15mM,D0,D07,0,7,7,26.09.25,16.632,,
Water_R1_6_15mM_D0_D07,Water,R0,6,15mM,D0,D07,0,7,7,26.09.25,19.015,,
Water_R1_7_15mM_D0_D07,Water,R0,7,15mM,D0,D07,0,7,7,26.09.25,4.188,,
Water_R1_8_15mM_D0_D07,Water,R0,8,15mM,D0,D07,0,7,7,26.09.25,16.503,,
Water_R1_9_15mM_D0_D07,Water,R0,9,15mM,D0,D07,0,7,7,26.09.25,18.33,,
Water_R1_10_15mM_D0_D07,Water,R0,10,15mM,D0,D07,0,7,7,26.09.25,20.024,,
Water_R1_11_15mM_D0_D07,Water,R0,11,15mM,D0,D07,0,7,7,26.09.25,18.274,,
Water_R1_12_15mM_D0_D07,Water,R0,12,15mM,D0,D07,0,7,7,26.09.25,16.214,,
3OMG_R1_1_15mM_D03_D07,3OMG,R1,1,15mM,D03,D07,3,7,4,26.09.25,11.945,,
3OMG_R1_2_15mM_D03_D07,3OMG,R1,2,15mM,D03,D07,3,7,4,26.09.25,11.102,,
3OMG_R1_3_15mM_D03_D07,3OMG,R1,3,15mM,D03,D07,3,7,4,26.09.25,11.681,,
3OMG_R1_4_15mM_D03_D07,3OMG,R1,4,15mM,D03,D07,3,7,4,26.09.25,14.425,,
3OMG_R1_5_15mM_D03_D07,3OMG,R1,5,15mM,D03,D07,3,7,4,26.09.25,14.251,,
3OMG_R1_6_15mM_D03_D07,3OMG,R1,6,15mM,D03,D07,3,7,4,26.09.25,14.176,,
3OMG_R1_7_15mM_D03_D07,3OMG,R1,7,15mM,D03,D07,3,7,4,26.09.25,13.606,,
3OMG_R1_8_15mM_D03_D07,3OMG,R1,8,15mM,D03,D07,3,7,4,26.09.25,1.62,,No growth
3OMG_R1_9_15mM_D03_D07,3OMG,R1,9,15mM,D03,D07,3,7,4,26.09.25,14.986,,
3OMG_R1_10_15mM_D03_D07,3OMG,R1,10,15mM,D03,D07,3,7,4,26.09.25,11.879,,
3OMG_R1_11_15mM_D03_D07,3OMG,R1,11,15mM,D03,D07,3,7,4,26.09.25,14.391,,
3OMG_R1_12_15mM_D03_D07,3OMG,R1,12,15mM,D03,D07,3,7,4,26.09.25,11.725,,
Water_R1_1_15mM_D03_D07,Water,R1,1,15mM,D03,D07,3,7,4,26.09.25,15.003,,
Water_R1_2_15mM_D03_D07,Water,R1,2,15mM,D03,D07,3,7,4,26.09.25,14.807,,
Water_R1_3_15mM_D03_D07,Water,R1,3,15mM,D03,D07,3,7,4,26.09.25,14.064,,
Water_R1_4_15mM_D03_D07,Water,R1,4,15mM,D03,D07,3,7,4,26.09.25,16.922,,
Water_R1_5_15mM_D03_D07,Water,R1,5,15mM,D03,D07,3,7,4,26.09.25,14.467,,
Water_R1_6_15mM_D03_D07,Water,R1,6,15mM,D03,D07,3,7,4,26.09.25,1.455,,No growth
Water_R1_7_15mM_D03_D07,Water,R1,7,15mM,D03,D07,3,7,4,26.09.25,8.894,,
Water_R1_8_15mM_D03_D07,Water,R1,8,15mM,D03,D07,3,7,4,26.09.25,13.8,,
Water_R1_9_15mM_D03_D07,Water,R1,9,15mM,D03,D07,3,7,4,26.09.25,12.826,,
Water_R1_10_15mM_D03_D07,Water,R1,10,15mM,D03,D07,3,7,4,26.09.25,11.438,,
Water_R1_11_15mM_D03_D07,Water,R1,11,15mM,D03,D07,3,7,4,26.09.25,12.234,,
Water_R1_12_15mM_D03_D07,Water,R1,12,15mM,D03,D07,3,7,4,26.09.25,15.361,,
3OMG_R1_1_15mM_D0_D09,3OMG,R0,1,15mM,D0,D09,0,9,9,28.09.25,22.986,,
3OMG_R1_2_15mM_D0_D09,3OMG,R0,2,15mM,D0,D09,0,9,9,28.09.25,24.896,,
3OMG_R1_3_15mM_D0_D09,3OMG,R0,3,15mM,D0,D09,0,9,9,28.09.25,25.921,,
3OMG_R1_4_15mM_D0_D09,3OMG,R0,4,15mM,D0,D09,0,9,9,28.09.25,24.936,,
3OMG_R1_5_15mM_D0_D09,3OMG,R0,5,15mM,D0,D09,0,9,9,28.09.25,20.481,,
3OMG_R1_6_15mM_D0_D09,3OMG,R0,6,15mM,D0,D09,0,9,9,28.09.25,22.69,,
3OMG_R1_7_15mM_D0_D09,3OMG,R0,7,15mM,D0,D09,0,9,9,28.09.25,21.981,,
3OMG_R1_8_15mM_D0_D09,3OMG,R0,8,15mM,D0,D09,0,9,9,28.09.25,26.118,,
3OMG_R1_9_15mM_D0_D09,3OMG,R0,9,15mM,D0,D09,0,9,9,28.09.25,24.788,,
3OMG_R1_10_15mM_D0_D09,3OMG,R0,10,15mM,D0,D09,0,9,9,28.09.25,26.649,,
3OMG_R1_11_15mM_D0_D09,3OMG,R0,11,15mM,D0,D09,0,9,9,28.09.25,27.081,,
3OMG_R1_12_15mM_D0_D09,3OMG,R0,12,15mM,D0,D09,0,9,9,28.09.25,26.128,,
Water_R1_1_15mM_D0_D09,Water,R0,1,15mM,D0,D09,0,9,9,28.09.25,25.427,,
Water_R1_2_15mM_D0_D09,Water,R0,2,15mM,D0,D09,0,9,9,28.09.25,25.807,,
Water_R1_3_15mM_D0_D09,Water,R0,3,15mM,D0,D09,0,9,9,28.09.25,27.141,,
Water_R1_4_15mM_D0_D09,Water,R0,4,15mM,D0,D09,0,9,9,28.09.25,25.863,,
Water_R1_5_15mM_D0_D09,Water,R0,5,15mM,D0,D09,0,9,9,28.09.25,25.864,,
Water_R1_6_15mM_D0_D09,Water,R0,6,15mM,D0,D09,0,9,9,28.09.25,30.829,,
Water_R1_7_15mM_D0_D09,Water,R0,7,15mM,D0,D09,0,9,9,28.09.25,12.893,,
Water_R1_8_15mM_D0_D09,Water,R0,8,15mM,D0,D09,0,9,9,28.09.25,25.611,,
Water_R1_9_15mM_D0_D09,Water,R0,9,15mM,D0,D09,0,9,9,28.09.25,29.759,,
Water_R1_10_15mM_D0_D09,Water,R0,10,15mM,D0,D09,0,9,9,28.09.25,31.587,,
Water_R1_11_15mM_D0_D09,Water,R0,11,15mM,D0,D09,0,9,9,28.09.25,30.004,,
Water_R1_12_15mM_D0_D09,Water,R0,12,15mM,D0,D09,0,9,9,28.09.25,28.535,,
3OMG_R1_1_15mM_D03_D09,3OMG,R1,1,15mM,D03,D09,3,9,6,28.09.25,22.155,,
3OMG_R1_2_15mM_D03_D09,3OMG,R1,2,15mM,D03,D09,3,9,6,28.09.25,20.928,,
3OMG_R1_3_15mM_D03_D09,3OMG,R1,3,15mM,D03,D09,3,9,6,28.09.25,21.701,,
3OMG_R1_4_15mM_D03_D09,3OMG,R1,4,15mM,D03,D09,3,9,6,28.09.25,24.747,,
3OMG_R1_5_15mM_D03_D09,3OMG,R1,5,15mM,D03,D09,3,9,6,28.09.25,24.678,,
3OMG_R1_6_15mM_D03_D09,3OMG,R1,6,15mM,D03,D09,3,9,6,28.09.25,24.399,,
