locus_name	CAZYName
gene_9057	TranscriptionalCoactivatorp15(PC4)-domaincontainingprotein
gene_9058	expressedprotein
gene_9065	hypotheticalprotein
gene_9067	Rho1guaninenucleotideexchangefactor1
gene_9070	hypotheticalprotein
gene_9073	hypotheticalprotein
gene_9074	hypotheticalprotein
gene_1093	Beta-lactamase/transpeptidase-likeprotein
gene_1094	Domainofunknownfunction(DUF4267)-domaincontainingprotein
gene_9078	typeIphosphodiesterase/nucleotidepyrophosphatase
gene_9083	expressedprotein
gene_9086	phosphatidylinositol-specificphospholipaseC
gene_9087	Nucleosidephosphorylasedomain-containingprotein
gene_9092	hypotheticalprotein
gene_9096	expressedprotein
gene_9097	hypotheticalprotein
gene_9100	parasiticphase-specificproteinPSP-1
gene_9113	Heterokaryonincompatibilityprotein(HET)-domaincontainingprotein
gene_1097	Ankyrinrepeat-containingdomainprotein
gene_9116	expressedprotein
gene_9118	majorfacilitatorsuperfamilydomain-containingprotein
gene_9119	glucokinase
gene_9123	signalpeptidepeptidasefamilyprotein
gene_9127	dienelactonehydrolasefamilyprotein
gene_9126	phosphopantetheinyltransferase
gene_9129	expressedprotein
gene_9131	isovaleryl-CoAdehydrogenase
gene_9134	shortchaindehydrogenase
gene_9133	expressedprotein
gene_9128	expressedprotein
gene_1104	expressedprotein
gene_9135	hypotheticalprotein
gene_1105	L-galactosedehydrogenase
gene_9137	GroES(chaperonin10)-likeprotein
gene_9139	hypotheticalprotein
gene_9140	PHD-fingerdomain-containingprotein
gene_9145	expressedprotein
gene_1106	C2H2zincfingerprotein
gene_9146	hypotheticalprotein
gene_9149	expressedprotein
gene_9153	terpenesynthase
gene_9154	expressedprotein
gene_9155	putativecryptochrome
gene_9157	exosomecomplexexonucleaseRRP40
gene_9161	RibonucleasesP/MRPproteinsubunitPOP1-domaincontainingprotein
gene_9163	2-methylcitratedehydratase
gene_9168	IBRdomain-containingprotein
gene_9175	YIF1-domaincontainingprotein
gene_9183	expressedprotein
gene_9185	expressedprotein
gene_9187	expressedprotein
gene_9191	hypotheticalprotein
gene_9193	expressedprotein
gene_9194	hypotheticalprotein
gene_9199	expressedprotein
gene_1108	expressedprotein
gene_9201	PeptidaseS8/S53domain-containingprotein
gene_1110	hypotheticalprotein
gene_9203	HDdomain-containingprotein
gene_9202	hypotheticalprotein
gene_9210	Aft1HRAdomain-domaincontainingprotein
gene_9209	expressedprotein
gene_9213	hypotheticalprotein
gene_9220	expressedprotein
gene_9219	expressedprotein
gene_1114	phosphatidylinositol3-kinasetor2
gene_9224	hypotheticalprotein
gene_9228	MediatorofRNApolymeraseIItranscriptionsubunit1-domaincontainingprotein
gene_9229	mitosisinhibitorproteinkinaseSWE1
gene_9231	TranscriptionalregulatorofRNApolII%2CSAGA%2Csubunit-domaincontainingprotein
gene_9234	expressedprotein
gene_9233	camp-dependentproteinkinaseregulatorysubunit
gene_1119	oxidoreductase
gene_1118	GrpB/Dephospho-CoAkinase
gene_9241	expressedprotein
gene_9242	cellpatternformation-associatedproteinstuA
gene_9252	hypotheticalprotein
gene_9254	C2H2typezincfingerdomain-containingprotein
gene_9253	expressedprotein
gene_9255	hypotheticalprotein
gene_1124	expressedprotein
gene_9257	TPRdomain-containingprotein
gene_9258	hypotheticalprotein
gene_9262	expressedprotein
gene_9266	expressedprotein
gene_1131	hypotheticalprotein
gene_9268	phospholipid-transportingATPase
gene_9267	expressedprotein
gene_9270	acetyl-CoAtransporter1
gene_9272	hypotheticalprotein
gene_9274	expressedprotein
gene_9278	hypotheticalprotein
gene_9280	hypotheticalprotein
gene_9282	hypotheticalprotein
gene_9284	ATP-dependentRNAhelicaseded-1
gene_9288	expressedprotein
gene_9289	WWdomainbindingprotein11
gene_9291	hypotheticalprotein
gene_1137	expressedprotein
gene_9295	nitrogenregulatoryproteinarea
gene_9296	hypotheticalprotein
gene_9299	Acyl-CoAdehydrogenase/oxidase%2CN-terminalandmiddledomain-containingprotein
gene_9302	Asparticpeptidasedomain-containingprotein
gene_9304	expressedprotein
gene_9309	dualspecificityproteinkinaseFUZ7
gene_9314	hypotheticalprotein
gene_9316	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagineamidaseA
gene_9320	neutraltrehalase
gene_9322	expressedprotein
gene_9324	hypotheticalprotein
gene_9327	expressedprotein
gene_9326	expressedprotein
gene_9330	expressedprotein
gene_9335	RING-9protein
gene_9334	abscisicacidABAreceptor
gene_9340	hypotheticalprotein
gene_9341	DUF718domain-containingprotein
gene_9345	LEC14Bprotein
gene_9351	expressedprotein
gene_9354	CentromerekinetochorecomponentCENP-T-domaincontainingprotein
gene_9361	expressedprotein
gene_9362	expressedprotein
gene_9364	expressedprotein
gene_9366	hypotheticalprotein
gene_9365	U3-containing90Spre-ribosomalcomplexsubunit-domaincontainingprotein
gene_1159	hypotheticalprotein
gene_9373	expressedprotein
gene_9375	pregnancy-associatedglycoprotein
gene_9374	expressedprotein
gene_9378	DNApolymerasefamilyB
gene_9382	ANTHdomain-domaincontainingprotein
gene_9384	hypotheticalprotein
gene_9385	expressedprotein
gene_9390	anaphase-promotingcomplexprotein
gene_9394	hypotheticalprotein
gene_1164	EndoribonucleaseL-PSP/chorismatemutase-likeprotein
gene_9398	hypotheticalprotein
gene_9399	hypotheticalprotein
gene_9400	sulfateadenylyltransferase
gene_9402	Transientreceptorpotential(TRP)ionchannel-domaincontainingprotein
gene_9404	trichotheceneeffluxpump
gene_9415	importin-7
gene_9414	expressedprotein
gene_9416	expressedprotein
gene_9418	impB/mucB/samBfamilyprotein
gene_9419	hypotheticalprotein
gene_9423	expressedprotein
gene_9424	SETdomain-containingprotein
gene_9431	expressedprotein
gene_9433	methyltransferasedomain-containingprotein
gene_9441	GATdomain-containingprotein
gene_9446	mitochondrialcarrierproteinRIM2
gene_9449	hypotheticalprotein
gene_9453	lipase
gene_9452	xylosidase/arabinosidase
gene_9456	Alpha/Betahydrolasefold
gene_9459	2-deoxy-D-gluconate3-dehydrogenase
gene_9461	GCYprotein
gene_9462	syntaxin-5
gene_9466	dolichyl-phosphate-mannose-proteinmannosyltransferase
gene_9465	hypotheticalprotein
gene_9470	hypotheticalprotein
gene_9471	SH3domainsignalingprotein
gene_9475	expressedprotein
gene_9477	NADH-ubiquinoneoxidoreductase21kDasubunit
gene_1176	ABCtransporterCDR4
gene_9481	expressedprotein
gene_9485	sterol24-C-methyltransferase
gene_9491	fungal-specifictranscriptionfactordomain-containingprotein
gene_9492	hypotheticalprotein
gene_9499	SWIRMdomain-containingprotein
gene_9502	Predictedintegralmembranemetal-bindingprotein(DUF2296)-domaincontainingprotein
gene_9505	expressedprotein
gene_1178	surfaceantigen
gene_9509	hypotheticalprotein
gene_9508	expressedprotein
gene_9513	fungal-specifictranscriptionfactor
gene_9517	hypotheticalprotein
gene_9522	hypotheticalprotein
gene_1180	hypotheticalprotein
gene_1181	hypotheticalprotein
gene_9528	endo-beta-1%2C3-glucanase
gene_9529	C6zincfingerprotein
gene_9531	hypotheticalprotein
gene_9532	expressedprotein
gene_9540	hypotheticalprotein
gene_9544	expressedprotein
gene_1184	Majorfacilitatorsuperfamilydomain-containingprotein
gene_9550	expressedprotein
gene_9551	RNAbindingprotein
gene_9552	hypotheticalprotein
gene_45	ureaactivetransporter
gene_9554	FAM86Aprotein
gene_9556	meioticmRNAstabilityproteinkinaseSSN3
gene_9558	expressedprotein
gene_9563	DNA-dependentRNApolymeraseIsubunitA43
gene_9571	expressedprotein
gene_9574	hypotheticalprotein
gene_9576	RSPprotein
gene_9577	calcium-transportingATPasesarcoplasmic/endoplasmicreticulumtype
gene_1185	expressedprotein
gene_9583	expressedprotein
gene_9586	synaptojanin-2
gene_9587	pre-mRNA-processingfactor39
gene_9597	zincfingertranscriptionfactorace1
gene_1190	U-boxdomain-containingprotein
gene_9600	expressedprotein
gene_9601	hypotheticalprotein
gene_9604	phosphorusacquisition-controllingprotein
gene_9606	tyrosine-proteinphosphataseCDC14
gene_9615	expressedprotein
gene_9616	taurinecatabolismdioxygenaseTauD
gene_9610	hypotheticalprotein
gene_9612	hypotheticalprotein
gene_1192	MFStransporter
gene_9614	expressedprotein
gene_1193	Fungalspecifictranscriptionfactordomain-domaincontainingprotein
gene_9609	hypotheticalprotein
gene_9608	hypotheticalprotein
gene_1197	acetolactatesynthase
gene_1196	leucine-richrepeat-containingprotein
gene_9613	hypotheticalprotein
gene_1198	Aldehyde/histidinoldehydrogenase
gene_9621	ammoniumtransporterMEP1
gene_9627	enoyl-CoAhydratasefamilymember
gene_1201	catalase
gene_47	Histidinephosphatasesuperfamily
gene_9637	expressedprotein
gene_9636	expressedprotein
gene_9639	hypotheticalprotein
gene_9644	hemolysin-IIIfamilyprotein
gene_9645	Fms-interactingprotein-domaincontainingprotein
gene_9647	expressedprotein
gene_9648	Glycosyltransferasefamilygroup2-domaincontainingprotein
gene_9654	E3ubiquitin-proteinligaseubr1
gene_9657	hypotheticalprotein
gene_9658	MFStransporter
gene_9660	L-Aspartase-likeprotein
gene_9659	Fungalspecifictranscriptionfactordomain-domaincontainingprotein
gene_1205	hypotheticalprotein
gene_9664	hypotheticalprotein
gene_9666	pantothenatetransporterliz1
gene_1206	Galactosemutarotase-likedomain-containingprotein
gene_9668	integralmembraneprotein
gene_9669	generalamino-acidpermeaseGAP1
gene_9681	Generalsubstratetransporter
gene_9693	ABC-2typetransporter-domaincontainingprotein
gene_9694	CytochromeP450
gene_9695	Fungalspecifictranscriptionfactordomain-domaincontainingprotein
gene_9696	FADbindingdomain-containingprotein
gene_9701	Glycosylhydrolasefamily71-domaincontainingprotein
gene_9703	mitochondrialpresequenceprotease
gene_9704	Myosin-likecoiled-coilprotein-domaincontainingprotein
gene_9707	SNF2familyN-terminaldomain-domaincontainingprotein
gene_9710	Alpha/Betahydrolasefold
gene_9715	hypotheticalprotein
gene_9716	mevalonatekinase
gene_9718	hypotheticalprotein
gene_9725	Mis6domain-containingprotein
gene_9726	hypotheticalprotein
gene_9727	hypotheticalprotein
gene_9729	importinalphare-exporter
gene_9731	hypotheticalprotein
gene_9735	expressedprotein
gene_9737	PLC-likephosphodiesterase%2CTIMbeta/alpha-barrel-containingproteindomain-containingprotein
gene_9740	methionyl-tRNAtransformylase
gene_9739	hypotheticalprotein
gene_9743	hypotheticalprotein
gene_9749	MPE1protein
gene_9760	expressedprotein
gene_1215	hypotheticalprotein
gene_9761	proteinphosphatase2C
gene_9763	hypotheticalprotein
gene_9766	hypotheticalprotein
gene_9767	PRP1splicingfactor
gene_9768	dimethyladenosinetransferase
gene_9772	Proteinofunknownfunction(DUF3433)-domaincontainingprotein
gene_9776	drugresistancetransporter
gene_9784	transformingproteinp29
gene_1219	Ribosomalsubunit39S-domaincontainingprotein
gene_9787	expressedprotein
gene_9786	hypotheticalprotein
gene_9788	RNAbindingprotein
gene_9789	expressedprotein
gene_9791	hypotheticalprotein
gene_9793	splicingfactor3Bsubunit10
gene_9794	MAGEfamily-domaincontainingprotein
gene_9802	expressedprotein
gene_9805	expressedprotein
gene_9808	Proteinkinase-likedomain-containingprotein
gene_9810	phosphotyrosineproteinphosphatase
gene_9811	expressedprotein
gene_9812	expressedprotein
gene_9826	expressedprotein
gene_9829	hypotheticalprotein
gene_9831	hypotheticalprotein
gene_9830	hypotheticalprotein
gene_9835	inosine-uridinepreferringnucleosidehydrolase
gene_9840	expressedprotein
gene_9844	exocystcomplexcomponentprotein
gene_9845	openreadingframe
gene_9848	expressedprotein
gene_9853	expressedprotein
gene_9859	Ppx/GppAphosphatase
gene_1227	hypoxanthineguaninephosphoribosyltransferase
gene_9860	hypotheticalprotein
gene_9863	NADH:flavinoxidoreductase/NADHoxidase
gene_9874	expressedprotein
gene_9873	transcriptionalactivatorHAP2
gene_9876	checkpointserine/threonine-proteinkinaseBUB1
gene_9878	diacylglycerolO-acyltransferase2B
gene_9885	Dopey%2CN-terminal-domaincontainingprotein
gene_9891	Prefoldinbeta-likeprotein
gene_9892	nucleartranscriptionfactorYsubunitB-3
gene_9896	FMP42protein
gene_9899	UTP-glucose-1-phosphateuridylyltransferase
gene_9902	nonselectivecationchannel
gene_9903	hypotheticalprotein
gene_9904	hypotheticalprotein
gene_9908	expressedprotein
gene_9912	SPFHdomain/Band7familyprotein
gene_9913	FolBdomain-containingprotein
gene_9915	RNApolymeraseIItranscriptionfactorSIII(Elongin)subunitA-domaincontainingprotein
gene_9919	HAD-likedomain-containingprotein
gene_9917	hypotheticalprotein
gene_9916	hypotheticalprotein
gene_9920	hypotheticalprotein
gene_9923	hypotheticalprotein
gene_9924	NAD(H)kinase
gene_1239	hypotheticalprotein
gene_1240	Fungalspecifictranscriptionfactordomain-domaincontainingprotein
gene_9932	Domainofunknownfunction(DUF1903)-domaincontainingprotein
gene_9937	hypotheticalprotein
gene_9938	vacuolarATPsynthasesubunitC
gene_9939	adenylyl-sulfatekinase
gene_9940	thioesterasefamilyprotein
gene_9951	stressresponseproteinWhi2
gene_9953	Proteinofunknownfunction(DUF1604)-domaincontainingprotein
gene_9956	adenylosuccinatelyase
gene_9958	hypotheticalprotein
gene_9966	Aconitasefamily(aconitatehydratase)-domaincontainingprotein
gene_9969	hypotheticalprotein
gene_1244	Poly(A)RNApolymerasecid14
gene_9971	peroxin-11
gene_9979	Domainofunknownfunction(DUF4078)-domaincontainingprotein
gene_9982	hypotheticalprotein
gene_1247	plasmamembranecalcium-transportingATPase
gene_9983	mitochondrialchaperoneBCS1
gene_9987	expressedprotein
gene_9988	alpha/betahydrolasefold-domaincontainingprotein
gene_9990	HEC/Ndc80pfamilyprotein
gene_9994	DNArepairproteinrad10
gene_9993	CCC1protein
gene_9997	hypotheticalprotein
gene_9995	hypotheticalprotein
gene_9998	L-galactonatedehydratase
gene_10002	hypotheticalprotein
gene_1248	expressedprotein
gene_10003	expressedprotein
gene_10011	hypotheticalprotein
gene_10010	FMC1proteinfamily
gene_10022	hypotheticalprotein
gene_10023	NADP-dependentoxidoreductasedomain-containingprotein
gene_10024	hypotheticalprotein
gene_10034	hypotheticalprotein
gene_10037	expressedprotein
gene_10038	serine/threonine-proteinkinaseRIM15
gene_10039	hypotheticalprotein
gene_10049	hypotheticalprotein
gene_10053	ATPsynthaseEchain-domaincontainingprotein
gene_10057	hypotheticalprotein
gene_10068	expressedprotein
gene_10067	expressedprotein
gene_10069	RNArecognitiondomain-containingprotein
gene_10070	ChaC-likeprotein-domaincontainingprotein
gene_49	succinate/fumaratemitochondrialtransporter
gene_10080	hypotheticalprotein
gene_10083	hypotheticalprotein
gene_10088	cycloheximideresistanceprotein
gene_10096	expressedprotein
gene_10109	hypotheticalprotein
gene_1256	chitinsynthaseD
gene_10113	expressedprotein
gene_1257	hypotheticalprotein
gene_1260	alcoholdehydrogenase
gene_10126	hypotheticalprotein
gene_10142	C6zincfingerdomainprotein
gene_10145	expressedprotein
gene_10152	hypotheticalprotein
gene_10154	cholinedehydrogenase
gene_10159	S-adenosyl-L-methionine-dependentmethyltransferase
gene_10166	D-3-phosphoglyceratedehydrogenase
gene_1261	expressedprotein
gene_10167	expressedprotein
gene_10170	Fungalspecifictranscriptionfactordomain-domaincontainingprotein
gene_1262	expressedprotein
gene_10178	mRNAcleavageandpolyadenylationspecificityfactorcomplexsubunit
gene_10185	hypotheticalprotein
gene_10186	expressedprotein
gene_10184	aminoacidtransporter
gene_10195	Heterokaryonincompatibilityprotein(HET)-domaincontainingprotein
gene_10194	expressedprotein
gene_1263	hypotheticalprotein
gene_10196	tubulinalphachain
gene_10202	hypotheticalprotein
gene_1265	eukaryotictranslationinitiationfactor5B
gene_10216	expressedprotein
gene_10220	expressedprotein
gene_10228	expressedprotein
gene_10231	hypotheticalprotein
gene_10233	expressedprotein
gene_10234	expressedprotein
gene_10243	Tim17/Tim22/Tim23/Pmp24family-domaincontainingprotein
gene_10242	peroxisomaltargetingsignalreceptor
gene_10244	expressedprotein
gene_10251	Heterokaryonincompatibilityprotein(HET)-domaincontainingprotein
gene_10266	surfactinsynthetasesubunit3
gene_10274	Ubiquitin-2likeRad60SUMO-like-domaincontainingprotein
gene_10275	Glycosidehydrolasesuperfamily
gene_10277	expressedprotein
gene_1271	ubiquitinfusionprotein
gene_10284	S-adenosylmethioninesynthetase
gene_10287	hypotheticalprotein
gene_10288	methylenetetrahydrofolatedehydrogenase
gene_10289	Dos2-interactingtranscriptionregulatorofRNA-Pol-II-domaincontainingprotein
gene_10292	RNApolymeraseIIIsubunitRpc25
gene_10293	hypotheticalprotein
gene_10297	RibosomalproteinL21-likeprotein
gene_10300	alcoholdehydrogenase
gene_10299	putativeGNATfamilyacetyltransferase
gene_10301	pectinesterase
gene_10303	Majorfacilitatorsuperfamilydomain-containingprotein
gene_10312	Thiamindiphosphate-bindingfold
gene_10313	expressedprotein
gene_10315	sugartransporter
gene_10323	hypotheticalprotein
gene_10324	Heterokaryonincompatibilityprotein(HET)-domaincontainingprotein
gene_52	arginyl-tRNAsynthetase
gene_10337	expressedprotein
gene_10336	expressedprotein
gene_10346	voltage-gatedpotassiumchannelsubunitbeta-3
gene_10364	hypotheticalprotein
gene_10367	alpha/betahydrolase
gene_10368	carnitinyl-CoAdehydratase
gene_10374	majorfacilitatorsuperfamilytransporter
gene_10379	D-lactonohydrolase-likeprotein-likeprotein
gene_10383	EAP30/Vps36familyprotein
gene_10384	hypotheticalprotein
gene_10386	hypotheticalprotein
gene_10391	Majorfacilitatorsuperfamilydomain-containingprotein
gene_10390	Beta-lactamase/transpeptidase-likeprotein
gene_10393	aerobicrespirationcontrolsensorproteinarcB
gene_10392	Uncharacterizedproteinconservedinbacteria(DUF2236)-domaincontainingprotein
gene_10395	Sulfide:quinoneoxidoreductase
gene_10396	hypotheticalprotein
gene_1274	rhodanesedomain-containingprotein
gene_10398	hypotheticalprotein
gene_10397	ankyrin
gene_10399	putativeextracellulartungstatebindingprotein
gene_10402	expressedprotein
gene_10403	Gprotein-coupledglucosereceptorregulatingGpa2-domaincontainingprotein
gene_10404	glutamineamidotransferaseclass-I
gene_10409	GPR1/FUN34/YaaH-classplasmamembraneprotein
gene_51	formyltransferase
gene_10415	F-boxdomain-containingprotein
gene_1276	DASHcomplexsubunitAsk1-domaincontainingprotein
gene_10422	2-hydroxyaciddehydrogenase
gene_1275	cytochromeP45061
gene_10423	Transmembraneprotein6/97
gene_1279	hypotheticalprotein
gene_10432	histidinekinase
gene_10433	lupusLaprotein
gene_1278	CT20familyprotein-likeprotein
gene_10442	hypotheticalprotein
gene_10443	hypotheticalprotein
gene_1282	KHdomain-containingprotein
gene_10462	majorfacilitatorsuperfamilytransporter
gene_10466	expressedprotein
gene_10464	expressedprotein
gene_10465	hypotheticalprotein
gene_10473	ubiquinol-cytochromecreductase
gene_10477	expressedprotein
gene_10480	expressedprotein
gene_10486	expressedprotein
gene_10487	expressedprotein
gene_10489	hypotheticalprotein
gene_10498	5'/3'-nucleotidasesurefamilyprotein
gene_10506	hypotheticalprotein
gene_10505	expressedprotein
gene_10515	Arginasefamily-domaincontainingprotein
gene_10520	methionineaminopeptidase
gene_1287	cullin-1
gene_10521	glycylpeptideN-tetradecanoyltransferase
gene_10522	glycylpeptideN-tetradecanoyltransferase
gene_10534	plasmamembranecalcium-transportingATPase2
gene_10536	STI35protein
gene_1289	MitochondrialK+-H+exchange-related-domaincontainingprotein
gene_1290	hypotheticalprotein
gene_10562	PeptidaseS8/S53domain-containingprotein
gene_1291	expressedprotein
gene_10574	GRFzincfingerprotein
gene_10577	hypotheticalprotein
gene_10581	Mob1/phoceinfamilyprotein
gene_10583	expressedprotein
gene_10587	innercentromereprotein
gene_10593	hypotheticalprotein
gene_10596	expressedprotein
gene_10595	expressedprotein
gene_10598	expressedprotein
gene_1295	hypotheticalprotein
gene_10600	regulatorofGproteinsignaling
gene_1296	hypotheticalprotein
gene_10603	expressedprotein
gene_10615	fattyacidsynthasesubunitalphareductase
gene_10621	phosphatemetabolismprotein
gene_10623	hypotheticalprotein
gene_1299	PCIdomain-containingprotein
gene_10631	phosphatidylinositol-specificphospholipaseC
gene_10632	expressedprotein
gene_10634	hypotheticalprotein
gene_10636	THOcomplexsubunit2
gene_10638	hypotheticalprotein
gene_10637	Mitochondrialcarrierdomain-containingprotein
gene_10641	cationeffluxfamilyprotein
gene_10647	phosphoglyceratemutasefamilyprotein
gene_10652	Folliculin-interactingproteinN-terminus-domaincontainingprotein
gene_10655	hypotheticalprotein
gene_1302	ubiquitin-conjugatingenzyme
gene_10654	expressedprotein
gene_10665	inositolphosphorylceramide-BC-26hydroxylase
gene_10670	deoxyhypusinehydroxylase
gene_10669	DNA-directedRNApolymeraseIsubunitRPA12
gene_10673	molybdenumcofactorsynthesisdomain-containingprotein
gene_10674	expressedprotein
gene_10678	expressedprotein
gene_1307	LSMdomain-containingprotein
gene_10677	expressedprotein
gene_10680	hypotheticalprotein
gene_10681	pyridoxamine5'-phosphateoxidase
gene_10682	diphthinesynthase
gene_1308	DNA-repairproteinrad13
gene_1309	nitratereductase
gene_10692	S-adenosyl-L-methionine-dependentmethyltransferase
gene_10697	expressedprotein
gene_10698	expressedprotein
gene_10702	ubiquitin-conjugatingenzyme
gene_10701	expressedprotein
gene_1310	Glycosylhydrolasesfamily31-domaincontainingprotein
gene_10716	Glycosidehydrolasesuperfamily
gene_10719	hypotheticalprotein
gene_10722	HAD-likedomain-containingprotein
gene_10720	TAMdomainmethyltransferase
gene_10724	expressedprotein
gene_10721	expressedprotein
gene_53	hypotheticalprotein
gene_10723	expressedprotein
gene_10730	expressedprotein
gene_10732	permease
gene_10737	fungal-specifictranscriptionfactor
gene_10739	ankyrinrepeatandSAMdomain-containingprotein
gene_10738	hypotheticalprotein
gene_10740	hypotheticalprotein
gene_10742	Spc24subunitofNdc80-domaincontainingprotein
gene_10746	miscellaneousZn(II)2Cys6transcriptionfactor
gene_10745	acetylcholinesterase
gene_10750	hypotheticalprotein
gene_10749	expressedprotein
gene_1311	TOS1protein
gene_10756	hypotheticalprotein
gene_10777	expressedprotein
gene_10779	expressedprotein
gene_10781	hypotheticalprotein
gene_10788	hexokinase-7
gene_10789	transcriptionalactivatorxlnR
gene_1314	endoplasmicreticulumtransmembraneprotein
gene_10804	hypotheticalprotein
gene_10809	hypotheticalprotein
gene_10810	dyneinheavychain
gene_10812	acetyltransferase
gene_10811	expressedprotein
gene_54	Ferricreductaseliketransmembranecomponent-domaincontainingprotein
gene_1316	hypotheticalprotein
gene_10826	hypotheticalprotein
gene_10828	Cullinrepeat-like-containingdomainprotein
gene_10831	Fungalspecifictranscriptionfactordomain-domaincontainingprotein
gene_10848	voltagegatedchloridechannel
gene_10850	Alpha/Betahydrolasefold
gene_10851	expressedprotein
gene_10852	expressedprotein
gene_10858	S-adenosyl-L-methionine-dependentmethyltransferase
gene_1318	naringenin3-dioxygenase
gene_10859	hypotheticalprotein
gene_10861	expressedprotein
gene_10860	expressedprotein
gene_10870	expressedprotein
gene_10872	Ankyrinrepeat-containingdomainprotein
gene_10871	hypotheticalprotein
gene_10889	putativefungal-specifictranscriptionfactor
gene_10893	expressedprotein
gene_10895	histoneacetyltransferaseGCN5
gene_10899	expressedprotein
gene_10900	hypotheticalprotein
gene_10908	Intradiolring-cleavagedioxygenase
gene_57	hypotheticalprotein
gene_10912	hypotheticalprotein
gene_10920	hypotheticalprotein
gene_1322	hypotheticalprotein
gene_10938	expressedprotein
gene_10941	majorfacilitatorsuperfamilytransporter
gene_10944	hypotheticalprotein
gene_10943	fungal-specifictranscriptionfactordomain-containingprotein
gene_10945	hypotheticalprotein
gene_10948	DUF427domain-containingprotein
gene_10950	bystin
gene_10952	GTP-bindingprotein
gene_10954	expressedprotein
gene_10957	hypotheticalprotein
gene_10960	beta-tubulincofactord
gene_10959	expressedprotein
gene_10973	MT-A70family
gene_10976	hypotheticalprotein
gene_10981	ATP-bindingcassettetransporterabc1
gene_10980	ZIPzinctransporter
gene_10983	ATPsynthaseF0
gene_10982	expressedprotein
gene_1324	Putativemethyltransferase-domaincontainingprotein
gene_10998	expressedprotein
gene_10997	hypotheticalprotein
gene_10999	C-typecyclin
gene_11005	Histidinephosphatasesuperfamily
gene_11008	Proteinkinase-likedomain-containingprotein
gene_11006	hypotheticalprotein
gene_11012	ExonucleaseV-a5'deoxyribonuclease-domaincontainingprotein
gene_11013	inositolpolyphosphatemultikinase
gene_11018	secretedprotein
