locus_name	description	CAZYName
gene_9220	expressedprotein	NA
gene_9219	expressedprotein	NA
gene_1114	phosphatidylinositol3-kinasetor2	NA
gene_9224	hypotheticalprotein	NA
gene_9228	MediatorofRNApolymeraseIItranscriptionsubunit1-domaincontainingprotein	NA
gene_9229	mitosisinhibitorproteinkinaseSWE1	NA
gene_9231	TranscriptionalregulatorofRNApolII%2CSAGA%2Csubunit-domaincontainingprotein	NA
gene_9234	expressedprotein	NA
gene_9233	camp-dependentproteinkinaseregulatorysubunit	NA
gene_1119	oxidoreductase	NA
gene_1118	GrpB/Dephospho-CoAkinase	NA
gene_9241	expressedprotein	NA
gene_9242	cellpatternformation-associatedproteinstuA	NA
gene_9252	hypotheticalprotein	NA
gene_9254	C2H2typezincfingerdomain-containingprotein	NA
gene_9253	expressedprotein	NA
gene_9255	hypotheticalprotein	NA
gene_1124	expressedprotein	NA
gene_9257	TPRdomain-containingprotein	NA
gene_9258	hypotheticalprotein	NA
gene_9262	expressedprotein	NA
gene_9266	expressedprotein	NA
gene_1131	hypotheticalprotein	NA
gene_9268	phospholipid-transportingATPase	NA
gene_9267	expressedprotein	NA
gene_9270	acetyl-CoAtransporter1	NA
gene_9272	hypotheticalprotein	NA
gene_9274	expressedprotein	NA
gene_9278	hypotheticalprotein	NA
gene_9280	hypotheticalprotein	NA
gene_9282	hypotheticalprotein	NA
gene_9284	ATP-dependentRNAhelicaseded-1	NA
gene_9288	expressedprotein	NA
gene_9289	WWdomainbindingprotein11	NA
gene_9291	hypotheticalprotein	NA
gene_1137	expressedprotein	NA
gene_9295	nitrogenregulatoryproteinarea	NA
gene_9296	hypotheticalprotein	NA
gene_9299	Acyl-CoAdehydrogenase/oxidase%2CN-terminalandmiddledomain-containingprotein	CE8
gene_9302	Asparticpeptidasedomain-containingprotein	NA
gene_9304	expressedprotein	NA
gene_9309	dualspecificityproteinkinaseFUZ7	NA
gene_9314	hypotheticalprotein	NA
gene_9316	peptide-N4-(N-acetyl-beta-glucosaminyl)asparagineamidaseA	NA
gene_9320	neutraltrehalase	GH37
gene_9322	expressedprotein	NA
gene_9324	hypotheticalprotein	NA
gene_9327	expressedprotein	NA
gene_9326	expressedprotein	NA
gene_9330	expressedprotein	NA
gene_9335	RING-9protein	NA
gene_9334	abscisicacidABAreceptor	NA
gene_9340	hypotheticalprotein	NA
gene_9341	DUF718domain-containingprotein	NA
gene_9345	LEC14Bprotein	NA
gene_9351	expressedprotein	NA
gene_9354	CentromerekinetochorecomponentCENP-T-domaincontainingprotein	NA
gene_9361	expressedprotein	NA
gene_9362	expressedprotein	NA
gene_9364	expressedprotein	NA
gene_9366	hypotheticalprotein	NA
gene_9365	U3-containing90Spre-ribosomalcomplexsubunit-domaincontainingprotein	NA
gene_1159	hypotheticalprotein	NA
gene_9373	expressedprotein	NA
gene_9375	pregnancy-associatedglycoprotein	NA
gene_9374	expressedprotein	NA
gene_9378	DNApolymerasefamilyB	NA
gene_9382	ANTHdomain-domaincontainingprotein	NA
gene_9384	hypotheticalprotein	NA
gene_9385	expressedprotein	NA
gene_9390	anaphase-promotingcomplexprotein	NA
gene_9394	hypotheticalprotein	NA
gene_1164	EndoribonucleaseL-PSP/chorismatemutase-likeprotein	GH13_39
gene_9398	hypotheticalprotein	NA
gene_9399	hypotheticalprotein	NA
gene_9400	sulfateadenylyltransferase	NA
gene_9402	Transientreceptorpotential(TRP)ionchannel-domaincontainingprotein	NA
gene_9404	trichotheceneeffluxpump	NA
gene_9415	importin-7	NA
gene_9414	expressedprotein	NA
gene_9416	expressedprotein	NA
gene_9418	impB/mucB/samBfamilyprotein	NA
gene_9419	hypotheticalprotein	NA
gene_9423	expressedprotein	NA
gene_9424	SETdomain-containingprotein	NA
gene_9431	expressedprotein	NA
gene_9433	methyltransferasedomain-containingprotein	NA
gene_9441	GATdomain-containingprotein	NA
gene_9446	mitochondrialcarrierproteinRIM2	NA
gene_9449	hypotheticalprotein	NA
gene_9453	lipase	NA
gene_9452	xylosidase/arabinosidase	GH43_1
gene_9456	Alpha/Betahydrolasefold	NA
gene_9459	2-deoxy-D-gluconate3-dehydrogenase	NA
gene_9461	GCYprotein	NA
gene_9462	syntaxin-5	NA
gene_9466	dolichyl-phosphate-mannose-proteinmannosyltransferase	GT39
gene_9465	hypotheticalprotein	NA
gene_9470	hypotheticalprotein	NA
gene_9471	SH3domainsignalingprotein	NA
gene_9475	expressedprotein	NA
gene_9477	NADH-ubiquinoneoxidoreductase21kDasubunit	NA
gene_1176	ABCtransporterCDR4	NA
gene_9481	expressedprotein	NA
gene_9485	sterol24-C-methyltransferase	NA
gene_9491	fungal-specifictranscriptionfactordomain-containingprotein	NA
gene_9492	hypotheticalprotein	NA
gene_9499	SWIRMdomain-containingprotein	NA
gene_9502	Predictedintegralmembranemetal-bindingprotein(DUF2296)-domaincontainingprotein	NA
gene_9505	expressedprotein	NA
gene_1178	surfaceantigen	NA
gene_9509	hypotheticalprotein	NA
gene_9508	expressedprotein	NA
gene_9513	fungal-specifictranscriptionfactor	NA
gene_9517	hypotheticalprotein	NA
gene_9522	hypotheticalprotein	NA
gene_1180	hypotheticalprotein	NA
gene_1181	hypotheticalprotein	NA
gene_9528	endo-beta-1%2C3-glucanase	GH17
gene_9529	C6zincfingerprotein	NA
gene_9531	hypotheticalprotein	NA
gene_9532	expressedprotein	NA
gene_9540	hypotheticalprotein	NA
gene_9544	expressedprotein	NA
gene_1184	Majorfacilitatorsuperfamilydomain-containingprotein	NA
gene_9550	expressedprotein	NA
gene_9551	RNAbindingprotein	NA
gene_9552	hypotheticalprotein	NA
gene_45	ureaactivetransporter	NA
gene_9554	FAM86Aprotein	NA
gene_9556	meioticmRNAstabilityproteinkinaseSSN3	NA
gene_9558	expressedprotein	NA
gene_9563	DNA-dependentRNApolymeraseIsubunitA43	NA
gene_9571	expressedprotein	NA
gene_9574	hypotheticalprotein	NA
gene_9576	RSPprotein	NA
gene_9577	calcium-transportingATPasesarcoplasmic/endoplasmicreticulumtype	NA
gene_1185	expressedprotein	NA
gene_9583	expressedprotein	NA
gene_9586	synaptojanin-2	NA
gene_9587	pre-mRNA-processingfactor39	NA
gene_9597	zincfingertranscriptionfactorace1	NA
gene_1190	U-boxdomain-containingprotein	NA
gene_9600	expressedprotein	NA
gene_9601	hypotheticalprotein	NA
gene_9604	phosphorusacquisition-controllingprotein	NA
gene_9606	tyrosine-proteinphosphataseCDC14	NA
gene_9615	expressedprotein	NA
gene_9616	taurinecatabolismdioxygenaseTauD	NA
gene_9610	hypotheticalprotein	NA
gene_9612	hypotheticalprotein	NA
gene_1192	MFStransporter	NA
gene_9614	expressedprotein	NA
gene_1193	Fungalspecifictranscriptionfactordomain-domaincontainingprotein	NA
gene_9609	hypotheticalprotein	NA
gene_9608	hypotheticalprotein	NA
gene_1197	acetolactatesynthase	NA
gene_1196	leucine-richrepeat-containingprotein	NA
gene_9613	hypotheticalprotein	NA
gene_1198	Aldehyde/histidinoldehydrogenase	NA
gene_9621	ammoniumtransporterMEP1	NA
gene_9627	enoyl-CoAhydratasefamilymember	NA
gene_1201	catalase	NA
gene_47	Histidinephosphatasesuperfamily	NA
gene_9637	expressedprotein	NA
gene_9636	expressedprotein	NA
gene_9639	hypotheticalprotein	NA
gene_9644	hemolysin-IIIfamilyprotein	NA
gene_9645	Fms-interactingprotein-domaincontainingprotein	NA
gene_9647	expressedprotein	NA
gene_9648	Glycosyltransferasefamilygroup2-domaincontainingprotein	NA
gene_9654	E3ubiquitin-proteinligaseubr1	NA
gene_9657	hypotheticalprotein	NA
gene_9658	MFStransporter	NA
gene_9660	L-Aspartase-likeprotein	NA
gene_9659	Fungalspecifictranscriptionfactordomain-domaincontainingprotein	NA
gene_1205	hypotheticalprotein	NA
gene_9664	hypotheticalprotein	NA
gene_9666	pantothenatetransporterliz1	NA
gene_1206	Galactosemutarotase-likedomain-containingprotein	NA
gene_9668	integralmembraneprotein	NA
gene_9669	generalamino-acidpermeaseGAP1	NA
gene_9681	Generalsubstratetransporter	NA
gene_9693	ABC-2typetransporter-domaincontainingprotein	NA
gene_9694	CytochromeP450	NA
gene_9695	Fungalspecifictranscriptionfactordomain-domaincontainingprotein	NA
gene_9696	FADbindingdomain-containingprotein	NA
gene_9701	Glycosylhydrolasefamily71-domaincontainingprotein	CBM24
gene_9703	mitochondrialpresequenceprotease	NA
gene_9704	Myosin-likecoiled-coilprotein-domaincontainingprotein	NA
gene_9707	SNF2familyN-terminaldomain-domaincontainingprotein	NA
gene_9710	Alpha/Betahydrolasefold	NA
gene_9715	hypotheticalprotein	NA
gene_9716	mevalonatekinase	NA
gene_9718	hypotheticalprotein	NA
gene_9725	Mis6domain-containingprotein	NA
gene_9726	hypotheticalprotein	NA
gene_9727	hypotheticalprotein	NA
gene_9729	importinalphare-exporter	NA
gene_9731	hypotheticalprotein	NA
gene_9735	expressedprotein	NA
gene_9737	PLC-likephosphodiesterase%2CTIMbeta/alpha-barrel-containingproteindomain-containingprotein	NA
gene_9740	methionyl-tRNAtransformylase	NA
gene_9739	hypotheticalprotein	NA
gene_9743	hypotheticalprotein	NA
gene_9749	MPE1protein	NA
gene_9760	expressedprotein	NA
gene_1215	hypotheticalprotein	NA
gene_9761	proteinphosphatase2C	GT0
gene_9763	hypotheticalprotein	NA
gene_9766	hypotheticalprotein	NA
gene_9767	PRP1splicingfactor	GH35
gene_9768	dimethyladenosinetransferase	NA
gene_9772	Proteinofunknownfunction(DUF3433)-domaincontainingprotein	NA
gene_9776	drugresistancetransporter	NA
gene_9784	transformingproteinp29	GT23
gene_1219	Ribosomalsubunit39S-domaincontainingprotein	NA
gene_9787	expressedprotein	NA
gene_9786	hypotheticalprotein	NA
gene_9788	RNAbindingprotein	NA
gene_9789	expressedprotein	NA
gene_9791	hypotheticalprotein	NA
gene_9793	splicingfactor3Bsubunit10	NA
gene_9794	MAGEfamily-domaincontainingprotein	NA
gene_9802	expressedprotein	NA
gene_9805	expressedprotein	NA
gene_9808	Proteinkinase-likedomain-containingprotein	NA
gene_9810	phosphotyrosineproteinphosphatase	NA
gene_9811	expressedprotein	NA
gene_9812	expressedprotein	NA
gene_9826	expressedprotein	NA
gene_9829	hypotheticalprotein	NA
gene_9831	hypotheticalprotein	NA
gene_9830	hypotheticalprotein	NA
gene_9835	inosine-uridinepreferringnucleosidehydrolase	NA
gene_9840	expressedprotein	NA
gene_9844	exocystcomplexcomponentprotein	NA
gene_9845	openreadingframe	NA
gene_9848	expressedprotein	NA
gene_9853	expressedprotein	NA
gene_9859	Ppx/GppAphosphatase	NA
gene_1227	hypoxanthineguaninephosphoribosyltransferase	NA
gene_9860	hypotheticalprotein	NA
gene_9863	NADH:flavinoxidoreductase/NADHoxidase	NA
gene_9874	expressedprotein	NA
gene_9873	transcriptionalactivatorHAP2	GH27
gene_9876	checkpointserine/threonine-proteinkinaseBUB1	NA
gene_9878	diacylglycerolO-acyltransferase2B	CBM14
gene_9885	Dopey%2CN-terminal-domaincontainingprotein	NA
gene_9891	Prefoldinbeta-likeprotein	NA
gene_9892	nucleartranscriptionfactorYsubunitB-3	GH76
gene_9896	FMP42protein	NA
gene_9899	UTP-glucose-1-phosphateuridylyltransferase	NA
gene_9902	nonselectivecationchannel	NA
gene_9903	hypotheticalprotein	NA
gene_9904	hypotheticalprotein	GH17
gene_9908	expressedprotein	NA
gene_9912	SPFHdomain/Band7familyprotein	GT33
gene_9913	FolBdomain-containingprotein	NA
gene_9915	RNApolymeraseIItranscriptionfactorSIII(Elongin)subunitA-domaincontainingprotein	NA
gene_9919	HAD-likedomain-containingprotein	NA
gene_9917	hypotheticalprotein	NA
gene_9916	hypotheticalprotein	NA
gene_9920	hypotheticalprotein	NA
gene_9923	hypotheticalprotein	NA
gene_9924	NAD(H)kinase	NA
gene_1239	hypotheticalprotein	NA
gene_1240	Fungalspecifictranscriptionfactordomain-domaincontainingprotein	NA
gene_9932	Domainofunknownfunction(DUF1903)-domaincontainingprotein	NA
gene_9937	hypotheticalprotein	NA
gene_9938	vacuolarATPsynthasesubunitC	NA
gene_9939	adenylyl-sulfatekinase	NA
gene_9940	thioesterasefamilyprotein	NA
gene_9951	stressresponseproteinWhi2	AA12
gene_9953	Proteinofunknownfunction(DUF1604)-domaincontainingprotein	NA
gene_9956	adenylosuccinatelyase	NA
gene_9958	hypotheticalprotein	NA
gene_9966	Aconitasefamily(aconitatehydratase)-domaincontainingprotein	NA
gene_9969	hypotheticalprotein	NA
gene_1244	Poly(A)RNApolymerasecid14	NA
gene_9971	peroxin-11	NA
gene_9979	Domainofunknownfunction(DUF4078)-domaincontainingprotein	NA
gene_9982	hypotheticalprotein	NA
gene_1247	plasmamembranecalcium-transportingATPase	NA
gene_9983	mitochondrialchaperoneBCS1	NA
gene_9987	expressedprotein	NA
gene_9988	alpha/betahydrolasefold-domaincontainingprotein	NA
gene_9990	HEC/Ndc80pfamilyprotein	NA
gene_9994	DNArepairproteinrad10	NA
gene_9993	CCC1protein	NA
gene_9997	hypotheticalprotein	NA
gene_9995	hypotheticalprotein	NA
gene_9998	L-galactonatedehydratase	NA
gene_10002	hypotheticalprotein	NA
gene_1248	expressedprotein	NA
gene_10003	expressedprotein	NA
gene_10011	hypotheticalprotein	NA
gene_10010	FMC1proteinfamily	NA
gene_10022	hypotheticalprotein	NA
gene_10023	NADP-dependentoxidoreductasedomain-containingprotein	NA
gene_10024	hypotheticalprotein	NA
gene_10034	hypotheticalprotein	NA
gene_10037	expressedprotein	NA
gene_10038	serine/threonine-proteinkinaseRIM15	NA
gene_10039	hypotheticalprotein	NA
gene_10049	hypotheticalprotein	NA
gene_10053	ATPsynthaseEchain-domaincontainingprotein	NA
gene_10057	hypotheticalprotein	NA
gene_10068	expressedprotein	NA
gene_10067	expressedprotein	NA
gene_10069	RNArecognitiondomain-containingprotein	CBM14
gene_10070	ChaC-likeprotein-domaincontainingprotein	NA
gene_49	succinate/fumaratemitochondrialtransporter	NA
gene_10080	hypotheticalprotein	NA
gene_10083	hypotheticalprotein	NA
gene_10088	cycloheximideresistanceprotein	GH31_4
gene_10096	expressedprotein	NA
gene_10109	hypotheticalprotein	NA
gene_1256	chitinsynthaseD	GT2
gene_10113	expressedprotein	NA
gene_1257	hypotheticalprotein	NA
gene_1260	alcoholdehydrogenase	AA3_2
gene_10126	hypotheticalprotein	NA
gene_10142	C6zincfingerdomainprotein	NA
gene_10145	expressedprotein	NA
gene_10152	hypotheticalprotein	NA
gene_10154	cholinedehydrogenase	AA3
gene_10159	S-adenosyl-L-methionine-dependentmethyltransferase	GT90
gene_10166	D-3-phosphoglyceratedehydrogenase	NA
gene_1261	expressedprotein	NA
gene_10167	expressedprotein	NA
gene_10170	Fungalspecifictranscriptionfactordomain-domaincontainingprotein	NA
gene_1262	expressedprotein	NA
gene_10178	mRNAcleavageandpolyadenylationspecificityfactorcomplexsubunit	NA
gene_10185	hypotheticalprotein	NA
gene_10186	expressedprotein	NA
gene_10184	aminoacidtransporter	NA
gene_10195	Heterokaryonincompatibilityprotein(HET)-domaincontainingprotein	NA
gene_10194	expressedprotein	NA
gene_1263	hypotheticalprotein	GT0
gene_10196	tubulinalphachain	NA
gene_10202	hypotheticalprotein	NA
gene_1265	eukaryotictranslationinitiationfactor5B	NA
gene_10216	expressedprotein	NA
gene_10220	expressedprotein	NA
gene_10228	expressedprotein	NA
gene_10231	hypotheticalprotein	NA
gene_10233	expressedprotein	NA
gene_10234	expressedprotein	NA
gene_10243	Tim17/Tim22/Tim23/Pmp24family-domaincontainingprotein	NA
gene_10242	peroxisomaltargetingsignalreceptor	NA
gene_10244	expressedprotein	NA
gene_10251	Heterokaryonincompatibilityprotein(HET)-domaincontainingprotein	NA
gene_10266	surfactinsynthetasesubunit3	NA
gene_10274	Ubiquitin-2likeRad60SUMO-like-domaincontainingprotein	NA
gene_10275	Glycosidehydrolasesuperfamily	GH5_16
gene_10277	expressedprotein	NA
gene_1271	ubiquitinfusionprotein	AA10
gene_10284	S-adenosylmethioninesynthetase	GH3
gene_10287	hypotheticalprotein	NA
gene_10288	methylenetetrahydrofolatedehydrogenase	NA
gene_10289	Dos2-interactingtranscriptionregulatorofRNA-Pol-II-domaincontainingprotein	NA
gene_10292	RNApolymeraseIIIsubunitRpc25	NA
gene_10293	hypotheticalprotein	NA
gene_10297	RibosomalproteinL21-likeprotein	NA
gene_10300	alcoholdehydrogenase	NA
gene_10299	putativeGNATfamilyacetyltransferase	NA
gene_10301	pectinesterase	CE8
gene_10303	Majorfacilitatorsuperfamilydomain-containingprotein	NA
gene_10312	Thiamindiphosphate-bindingfold	NA
gene_10313	expressedprotein	NA
gene_10315	sugartransporter	NA
gene_10323	hypotheticalprotein	NA
gene_10324	Heterokaryonincompatibilityprotein(HET)-domaincontainingprotein	NA
gene_52	arginyl-tRNAsynthetase	NA
gene_10337	expressedprotein	NA
gene_10336	expressedprotein	NA
gene_10346	voltage-gatedpotassiumchannelsubunitbeta-3	NA
gene_10364	hypotheticalprotein	NA
gene_10367	alpha/betahydrolase	NA
gene_10368	carnitinyl-CoAdehydratase	NA
gene_10374	majorfacilitatorsuperfamilytransporter	NA
gene_10379	D-lactonohydrolase-likeprotein-likeprotein	NA
gene_10383	EAP30/Vps36familyprotein	NA
gene_10384	hypotheticalprotein	NA
gene_10386	hypotheticalprotein	NA
gene_10391	Majorfacilitatorsuperfamilydomain-containingprotein	NA
gene_10390	Beta-lactamase/transpeptidase-likeprotein	NA
gene_10393	aerobicrespirationcontrolsensorproteinarcB	NA
gene_10392	Uncharacterizedproteinconservedinbacteria(DUF2236)-domaincontainingprotein	NA
gene_10395	Sulfide:quinoneoxidoreductase	NA
gene_10396	hypotheticalprotein	NA
gene_1274	rhodanesedomain-containingprotein	NA
gene_10398	hypotheticalprotein	NA
gene_10397	ankyrin	NA
gene_10399	putativeextracellulartungstatebindingprotein	NA
gene_10402	expressedprotein	NA
gene_10403	Gprotein-coupledglucosereceptorregulatingGpa2-domaincontainingprotein	NA
gene_10404	glutamineamidotransferaseclass-I	NA
gene_10409	GPR1/FUN34/YaaH-classplasmamembraneprotein	NA
gene_51	formyltransferase	NA
gene_10415	F-boxdomain-containingprotein	NA
gene_1276	DASHcomplexsubunitAsk1-domaincontainingprotein	NA
gene_10422	2-hydroxyaciddehydrogenase	NA
gene_1275	cytochromeP45061	NA
gene_10423	Transmembraneprotein6/97	NA
gene_1279	hypotheticalprotein	NA
gene_10432	histidinekinase	NA
gene_10433	lupusLaprotein	NA
gene_1278	CT20familyprotein-likeprotein	NA
gene_10442	hypotheticalprotein	NA
gene_10443	hypotheticalprotein	NA
gene_1282	KHdomain-containingprotein	NA
gene_10462	majorfacilitatorsuperfamilytransporter	NA
gene_10466	expressedprotein	NA
gene_10464	expressedprotein	NA
gene_10465	hypotheticalprotein	NA
gene_10473	ubiquinol-cytochromecreductase	NA
gene_10477	expressedprotein	NA
gene_10480	expressedprotein	NA
gene_10486	expressedprotein	NA
gene_10487	expressedprotein	NA
gene_10489	hypotheticalprotein	NA
gene_10498	5'/3'-nucleotidasesurefamilyprotein	NA
gene_10506	hypotheticalprotein	NA
gene_10505	expressedprotein	NA
gene_10515	Arginasefamily-domaincontainingprotein	NA
gene_10520	methionineaminopeptidase	NA
gene_1287	cullin-1	NA
gene_10521	glycylpeptideN-tetradecanoyltransferase	NA
gene_10522	glycylpeptideN-tetradecanoyltransferase	NA
gene_10534	plasmamembranecalcium-transportingATPase2	NA
gene_10536	STI35protein	NA
gene_1289	MitochondrialK+-H+exchange-related-domaincontainingprotein	NA
gene_1290	hypotheticalprotein	NA
gene_10562	PeptidaseS8/S53domain-containingprotein	NA
gene_1291	expressedprotein	NA
gene_10574	GRFzincfingerprotein	NA
gene_10577	hypotheticalprotein	NA
gene_10581	Mob1/phoceinfamilyprotein	NA
gene_10583	expressedprotein	NA
gene_10587	innercentromereprotein	NA
gene_10593	hypotheticalprotein	NA
gene_10596	expressedprotein	NA
gene_10595	expressedprotein	NA
gene_10598	expressedprotein	NA
gene_1295	hypotheticalprotein	NA
gene_10600	regulatorofGproteinsignaling	NA
gene_1296	hypotheticalprotein	NA
gene_10603	expressedprotein	NA
gene_10615	fattyacidsynthasesubunitalphareductase	NA
gene_10621	phosphatemetabolismprotein	NA
gene_10623	hypotheticalprotein	NA
gene_1299	PCIdomain-containingprotein	NA
gene_10631	phosphatidylinositol-specificphospholipaseC	NA
gene_10632	expressedprotein	NA
gene_10634	hypotheticalprotein	NA
gene_10636	THOcomplexsubunit2	NA
gene_10638	hypotheticalprotein	NA
gene_10637	Mitochondrialcarrierdomain-containingprotein	NA
gene_10641	cationeffluxfamilyprotein	NA
gene_10647	phosphoglyceratemutasefamilyprotein	NA
gene_10652	Folliculin-interactingproteinN-terminus-domaincontainingprotein	NA
gene_10655	hypotheticalprotein	NA
gene_1302	ubiquitin-conjugatingenzyme	CBM43
gene_10654	expressedprotein	NA
gene_10665	inositolphosphorylceramide-BC-26hydroxylase	NA
