locus_id	protein_id	arath_lfc	arath_padj	barley_lfc	barley_padj	mtom_lfc	mtom_padj	arath_sig	mtom_sig	barley_sig	arath_induced	mtom_induced	barley_induced	induced_all	induced_arath	induced_arath.mtom	induced_mtom	induced_barley	induced_arath.barley	induced_mtom.barley	description	kogid	kogdefline	kogClass	kogGroup	gotermId	goName	gotermType	goAcc	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathway_class	pathway_type	iprId	iprDesc	domainDb	domainId	domainDesc	numHits	domainStarts	domainEnds	score	CAZYName	CAZYbitscore	CAZYSubstrate	CAZYEnzymes	CAZYEC	SignalPepProb	Effector	MEROPS_description	MEROPS_unit	clusters
gene_8854	99711	1.341775398	0.14236812	0.100272915	NA	0.190080113	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	hypotheticalprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IPR024774	"Pleckstrin homology domain, Mcp5-type"	HMMPfam	PF12814	Meiotic cell cortex C-terminal pleckstrin homology	1	"988,"	"1119,"	6.30E-48	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8856	99713	0.619918674	0.422749486	0.168123075	0.850285192	0.178627777	0.834827985	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	OTUdomain-containingprotein6B	KOG2606	OTU (ovarian tumor)-like cysteine protease	"Posttranslational modification, protein turnover, chaperones "	CELLULAR PROCESSES AND SIGNALING	NA	NA	NA	NA	3.4.19.12	Ubiquitinyl hydrolase 1.	"Thiol-dependent hydrolysis of ester, thiolester, amide, peptide and isopeptide bonds formed by the C-terminal Gly of ubiquitin (a 76-residue protein attached to proteins as an intracellular targeting signal)."	\N	\N	\N	\N	\N	IPR003323	"Ovarian tumour, otubain"	HMMPfam	PF02338	OTU-like cysteine protease	1	"178,"	"307,"	2.20E-16	NA	NA	NA	NA	NA	NA	NA	subfamily C85A unassigned peptidases	peptidase unit: 185-315	4
gene_8857	99716	0.558667876	NA	0.20298829	NA	0.389922921	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	thiopurineS-methyltransferasefamilyprotein	NA	NA	NA	NA	3930	cytoplasm	cellular_component	GO:0005737	NA	NA	NA	NA	NA	NA	NA	NA	IPR008854	TPMT family	HMMPfam	PF05724	Thiopurine S-methyltransferase (TPMT)	1	"21,"	"226,"	1.20E-23	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8855	99718	-0.155270787	0.828640877	0.142097283	0.855201374	-0.139720459	0.788247926	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	expressedprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.988	Cytoplasmic effector	NA	NA	4
gene_8853	99738	0.154002114	NA	NA	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	expressedprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8863	99786	2.350796697	0.025247119	0.879641424	0.285634957	0.587071983	NA	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	hypotheticalprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8866	99811	-1.93081424	1.47E-08	-0.317464839	0.58384295	0.269716823	0.773582909	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Marveldomain-containingprotein	NA	NA	NA	NA	9320	membrane	cellular_component	GO:0016020	NA	NA	NA	NA	NA	NA	NA	NA	IPR008253	Marvel domain	HMMPfam	PF01284	Membrane-associating domain	1	"8,"	"144,"	1.90E-23	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
gene_8867	99815	-3.103449285	6.41E-13	-1.054678653	0.003630246	-1.191754501	0.007770365	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	hypotheticalprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
gene_1073	9375	0.293667547	NA	0.099095553	NA	-0.054052032	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	expressedprotein	KOG0592	3-phosphoinositide-dependent protein kinase (PDK1)	Signal transduction mechanisms 	CELLULAR PROCESSES AND SIGNALING	3043	protein kinase activity	molecular_function	GO:0004672	NA	NA	NA	NA	NA	NA	NA	NA	IPR000719	Protein kinase domain	HMMPfam	PF00069	Protein kinase domain	1	"547,"	"650,"	5.80E-14	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8870	99851	0.585919643	0.357096944	0.053812164	NA	0.049654661	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	expressedprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8869	99852	-0.324039222	0.681007455	-0.217361847	0.820946196	-0.289162454	0.773621575	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FADdependentoxidoreductase	NA	NA	NA	NA	9710	oxidoreductase activity	molecular_function	GO:0016491	NA	NA	NA	NA	NA	NA	NA	NA	IPR006076	FAD dependent oxidoreductase	HMMPfam	PF01266	FAD dependent oxidoreductase	1	"44,"	"428,"	7.70E-47	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8878	99945	0.127857724	NA	0.099095553	NA	-0.054052032	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	expressedprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8880	99955	-1.862425445	0.000714967	-2.435588379	1.69E-06	-2.394713327	4.64E-05	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Uncharacterisedproteinfamily(UPF0041)-domaincontainingprotein	KOG1589	Uncharacterized conserved protein	Function unknown 	POORLY CHARACTERIZED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IPR005336	Mitochondrial pyruvate carrier	HMMPfam	PF03650	Uncharacterised protein family (UPF0041)	1	"65,"	"164,"	3.70E-39	NA	NA	NA	NA	NA	NA	NA	NA	NA	2
gene_8889	100050	-1.3796372	0.02477477	-0.170269228	0.824483941	-0.119345163	0.885001386	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	hypotheticalprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IPR016137	RGS domain	SUPERFAMILY	SSF48097	\N	2	"53,213,"	"93,286,"	"5.05E-14,5.05E-14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8892	100073	1.128109595	0.181377656	0.560316619	NA	-0.078307195	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	expressedprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8895	100085	2.009210782	0.066787759	2.963132851	0.027079239	1.345623138	0.136580214	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	hypotheticalprotein	NA	NA	NA	NA	9907	"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, 2-oxoglutarate as one donor, and incorporation of one atom each of oxygen into both donors"	molecular_function	GO:0016706	NA	NA	NA	NA	NA	NA	NA	NA	IPR005123	Oxoglutarate/iron-dependent dioxygenase	HMMPfam	PF13640	2OG-Fe(II) oxygenase superfamily	1	"149,"	"261,"	4.60E-11	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8897	100089	1.946646096	0.01223576	1.903463119	0.028462288	0.432547729	0.611453524	TRUE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	glycolateoxidase	KOG1231	Proteins containing the FAD binding domain	Energy production and conversion 	METABOLISM	2290	catalytic activity	molecular_function	GO:0003824	1.1.2.4	D-lactate dehydrogenase (cytochrome).	(R)-lactate + 2 ferricytochrome c = pyruvate + 2 ferrocytochrome c.	FAD.	\N	Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC	IPR006094	"FAD linked oxidase, N-terminal"	HMMPfam	PF01565	FAD binding domain	1	"157,"	"295,"	1.10E-33	GT31	560.5	NA	NA	NA	NA	NA	NA	NA	4
gene_8894	100155	-0.78667712	0.318750691	0.256162679	0.784879851	-0.019717486	0.984305194	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	expressedprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	\N	\N	ProSiteProfiles	PS51257	Prokaryotic membrane lipoprotein lipid attachment site profile.	1	"1,"	"33,"	6	NA	NA	NA	NA	NA	0.979	Non-effector	NA	NA	4
gene_8893	100170	-0.414254629	0.532924105	-0.084291974	0.923953525	-0.136976551	0.88678096	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	expressedprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	\N	\N	ProSiteProfiles	PS51257	Prokaryotic membrane lipoprotein lipid attachment site profile.	1	"1,"	"30,"	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8896	100208	0.183960136	NA	-0.066586712	NA	0.0942068	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	RNAdependentRNApolymerase	KOG0988	RNA-directed RNA polymerase QDE-1 required for posttranscriptional gene silencing and RNA interference	RNA processing and modification  	INFORMATION STORAGE AND PROCESSING	2420	RNA-directed RNA polymerase activity	molecular_function	GO:0003968	2.7.7.48	RNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).	\N	\N	Purine metabolism	Nucleotide Metabolism	METABOLIC	IPR007855	"RNA-dependent RNA polymerase, eukaryotic-type"	HMMPfam	PF05183	RNA dependent RNA polymerase	1	"367,"	"940,"	4.40E-173	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8901	100304	-1.540966735	0.016801466	0.250245219	0.739559999	-0.269458823	0.739766807	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	hypotheticalprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8906	100352	1.965264947	0.04321537	1.431545737	0.142991035	2.425213661	0.034000404	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	SUR7/PalIfamily-domaincontainingprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IPR009571	Actin cortical patch SUR7/pH-response regulator PalI	HMMPfam	PF06687	SUR7/PalI family	1	"6,"	"163,"	7.30E-26	NA	NA	NA	NA	NA	0.995	Non-effector	NA	NA	4
gene_8908	100377	-0.153026709	NA	-0.160528305	NA	-0.135868985	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	expressedprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8909	100394	4.323931232	0.01723337	0.176739662	NA	NA	NA	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	hypotheticalprotein	KOG1721	FOG: Zn-finger	General function prediction only 	POORLY CHARACTERIZED	2196	transcription factor activity	molecular_function	GO:0003700	NA	NA	NA	NA	NA	NA	NA	NA	IPR007087	"Zinc finger, C2H2"	HMMPfam	PF00096	"Zinc finger, C2H2 type"	1	"14,"	"31,"	3.00E-05	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8912	100413	0.423400492	NA	0.176739662	NA	NA	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	hypotheticalprotein	NA	NA	NA	NA	2196	transcription factor activity	molecular_function	GO:0003700	NA	NA	NA	NA	NA	NA	NA	NA	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	HMMPfam	PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	1	"16,"	"50,"	7.00E-07	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8918	100467	-0.597711376	0.36955142	-0.92143919	0.270689359	-0.894871296	0.306775109	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	pyridoxal-dependentdecarboxylase	KOG0628	Aromatic-L-amino-acid/L-histidine decarboxylase	Amino acid transport and metabolism 	METABOLISM	10026	carboxy-lyase activity	molecular_function	GO:0016831	4.1.1.28	Aromatic-L-amino-acid decarboxylase.	L-tryptophan = tryptamine + CO(2).	Pyridoxal-phosphate.	\N	Alkaloid biosynthesis I	Biosynthesis of Secondary Metabolites	METABOLIC	IPR002129	Pyridoxal phosphate-dependent decarboxylase	HMMPfam	PF00282	Pyridoxal-dependent decarboxylase conserved domain	1	"60,"	"427,"	1.40E-29	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8921	100502	0.250398405	0.757275647	0.112861281	0.908846528	-0.078939707	0.944724155	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	complexIintermediate-associatedprotein	KOG4197	FOG: PPR repeat	General function prediction only 	POORLY CHARACTERIZED	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IPR002885	Pentatricopeptide repeat	HMMPfam	PF13812	Pentatricopeptide repeat domain	2	"565,642,"	"593,665,"	"0.0075,0.0071"	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8926	100543	0.254927704	0.658295077	-0.11584462	NA	0.020146755	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	expressedprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8927	100544	2.872261013	0.015959676	0.272800143	NA	0.361306308	NA	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	hypotheticalprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	\N	\N	HMMPfam	PF13460	NADH(P)-binding	1	"4,"	"206,"	1.10E-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_8931	100596	-0.359667602	0.623315222	-0.281422477	NA	-0.348725838	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Alpha/Betahydrolasefold	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IPR000073	Alpha/beta hydrolase fold-1	HMMPfam	PF12697	Alpha/beta hydrolase family	1	"32,"	"295,"	1.80E-26	NA	NA	NA	NA	NA	NA	NA	family S33 non-peptidase homologues	peptidase unit: 34-302	4
gene_8933	100606	-1.190750397	0.115807084	-0.600118661	0.500046597	0.044752682	0.964772026	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	CDP-alcoholphosphatidyltransferase	KOG2877	"sn-1,2-diacylglycerol ethanolamine- and cholinephosphotranferases"	Lipid transport and metabolism 	METABOLISM	6286	phospholipid biosynthetic process	biological_process	GO:0008654	2.7.8.1	Ethanolaminephosphotransferase.	"CDP-ethanolamine + 1,2-diacylglycerol = CMP + a phosphatidylethanolamine."	\N	\N	Sphingophospholipid biosynthesis	Metabolism of Complex Lipids	METABOLIC	IPR000462	CDP-alcohol phosphatidyltransferase	HMMPfam	PF01066	CDP-alcohol phosphatidyltransferase	1	"46,"	"146,"	4.70E-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
gene_1082	9456	1.319873398	0.140692074	0.028841135	NA	0.10236277	NA	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	hypotheticalprotein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	IPR010730	Heterokaryon incompatibility	HMMPfam	PF06985	Heterokaryon incompatibility protein (HET)	1	"169,"	"313,"	1.70E-08	NA	NA	NA	NA	NA	NA	NA	NA	NA	4
