Experiment;Treatment;Disease index
2;Rhizoctonia;2
2;Rhizoctonia;2
2;Rhizoctonia;2
2;Rhizoctonia;1
2;Rhizoctonia;0
2;Rhizoctonia;1
2;Rhizoctonia;2
2;Rhizoctonia;2
2;Rhizoctonia;2
2;Rhizoctonia;1
2;Rhizoctonia;2
2;Rhizoctonia;2
2;Rhizoctonia;2
2;Rhizoctonia;2
2;Rhizoctonia;2
2;Rhizoctonia;2
2;Rhizoctonia;1
2;Rhizoctonia;2
2;Rhizoctonia;1
2;Rhizoctonia;2
2;Rhizoctonia;2
2;Rhizoctonia;1
2;Rhizoctonia+3-OMG;5
2;Rhizoctonia+3-OMG;5
2;Rhizoctonia+3-OMG;5
2;Rhizoctonia+3-OMG;4
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;2
2;Rhizoctonia+3-OMG;3
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;2
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;2
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;1
2;Rhizoctonia+3-OMG;1
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;2
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;2
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;2
2;Rhizoctonia+3-OMG;0
2;Rhizoctonia+3-OMG;0
2;Control;4
2;Control;5
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;1
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;1
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;2
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
2;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;5
3;Control;5
3;Control;4
3;Control;4
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Control;0
3;Rhizoctonia;2
3;Rhizoctonia;5
3;Rhizoctonia;5
3;Rhizoctonia;5
3;Rhizoctonia;5
3;Rhizoctonia;5
3;Rhizoctonia;5
3;Rhizoctonia;5
3;Rhizoctonia;5
3;Rhizoctonia;5
3;Rhizoctonia;5
3;Rhizoctonia;5
3;Rhizoctonia;5
3;Rhizoctonia;5
3;Rhizoctonia;5
3;Rhizoctonia;5
3;Rhizoctonia;4
3;Rhizoctonia;4
3;Rhizoctonia;4
3;Rhizoctonia;0
3;Rhizoctonia;2
3;Rhizoctonia;2
3;Rhizoctonia;2
3;Rhizoctonia;2
3;Rhizoctonia;1
3;Rhizoctonia;2
3;Rhizoctonia;2
3;Rhizoctonia;1
3;Rhizoctonia;0
3;Rhizoctonia;1
3;Rhizoctonia;2
3;Rhizoctonia;2
3;Rhizoctonia;2
3;Rhizoctonia;0
3;Rhizoctonia;0
3;Rhizoctonia;1
3;Rhizoctonia;2
3;Rhizoctonia;1
3;Rhizoctonia;2
3;Rhizoctonia;1
3;Rhizoctonia;2
3;Rhizoctonia;1
3;Rhizoctonia;2
3;Rhizoctonia;2
3;Rhizoctonia;2
3;Rhizoctonia;2
3;Rhizoctonia;2
3;Rhizoctonia;2
3;Rhizoctonia;2
3;Rhizoctonia;2
3;Rhizoctonia;2
3;Rhizoctonia;2
3;Rhizoctonia;2
3;Rhizoctonia;1
3;Rhizoctonia;2
3;Rhizoctonia;2
3;Rhizoctonia;1
3;Rhizoctonia;1
3;Rhizoctonia;2
3;Rhizoctonia;2
3;Rhizoctonia+3-OMG;5
3;Rhizoctonia+3-OMG;5
3;Rhizoctonia+3-OMG;5
3;Rhizoctonia+3-OMG;5
3;Rhizoctonia+3-OMG;5
3;Rhizoctonia+3-OMG;5
3;Rhizoctonia+3-OMG;5
3;Rhizoctonia+3-OMG;5
3;Rhizoctonia+3-OMG;5
3;Rhizoctonia+3-OMG;5
3;Rhizoctonia+3-OMG;5
3;Rhizoctonia+3-OMG;5
3;Rhizoctonia+3-OMG;4
3;Rhizoctonia+3-OMG;4
3;Rhizoctonia+3-OMG;4
3;Rhizoctonia+3-OMG;4
3;Rhizoctonia+3-OMG;4
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;1
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;1
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;1
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;1
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;1
3;Rhizoctonia+3-OMG;2
3;Rhizoctonia+3-OMG;2
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;1
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;2
3;Rhizoctonia+3-OMG;1
3;Rhizoctonia+3-OMG;0
3;Rhizoctonia+3-OMG;1
