	Wells	Plate	Media	Carbon Concentration	Carbon	Ratio	Microbe	Time	Time2	OD600	Fluorescens
78	G6	P1	M9	0.75mM	D.Glucose	0_100	F16	0	0h	0.096900001	168
79	G7	P1	M9	0.75mM	3OMG_D.Glucose	100_100	F16	0	0h	0.093599997	168
80	G8	P1	M9	0.75mM	3OMG_D.Glucose	100_100	F16	0	0h	0.096900001	164
81	G9	P1	M9	0.75mM	3OMG_D.Glucose	100_100	F16	0	0h	0.095700003	173
82	G10	P1	M9	0.75mM	Water	0_0	F16	0	0h	0.092500001	160
83	G11	P1	M9	0.75mM	Water	0_0	F16	0	0h	0.093099996	169
84	G12	P1	M9	0.75mM	Water	0_0	F16	0	0h	0.092399999	168
85	H1	P1	M9	0mM	3OMG	100_0	F16	0	0h	0.100599997	194
86	H2	P1	M9	0mM	3OMG	100_0	F16	0	0h	0.091899998	160
87	H3	P1	M9	0mM	3OMG	100_0	F16	0	0h	0.092100002	156
88	H4	P1	M9	0mM	D.Glucose	0_100	F16	0	0h	0.093000002	156
89	H5	P1	M9	0mM	D.Glucose	0_100	F16	0	0h	0.095299996	166
90	H6	P1	M9	0mM	D.Glucose	0_100	F16	0	0h	0.0942	161
91	H7	P1	M9	0mM	3OMG_D.Glucose	100_100	F16	0	0h	0.096500002	167
92	H8	P1	M9	0mM	3OMG_D.Glucose	100_100	F16	0	0h	0.0942	169
93	H9	P1	M9	0mM	3OMG_D.Glucose	100_100	F16	0	0h	0.094300002	166
94	H10	P1	M9	0mM	Water	0_0	F16	0	0h	0.094499998	158
95	H11	P1	M9	0mM	Water	0_0	F16	0	0h	0.094300002	171
96	H12	P1	M9	0mM	Water	0_0	F16	0	0h	0.0933	163
97	A1	P2	1/2MS	0mM	Water	100_0	MF	0	0h	0.076200001	159
98	A2	P2	1/2MS	0mM	Water	100_0	MF	0	0h	0.074600004	163
99	A3	P2	1/2MS	0mM	Water	100_0	MF	0	0h	0.075400002	167
100	A4	P2	1/2MS	0mM	Water	0_100	MF	0	0h	0.074299999	167
101	A5	P2	1/2MS	0mM	Water	0_100	MF	0	0h	0.075099997	164
102	A6	P2	1/2MS	0mM	Water	0_100	MF	0	0h	0.0748	173
103	A7	P2	1/2MS	0mM	Water	100_100	MF	0	0h	0.074600004	166
104	A8	P2	1/2MS	0mM	Water	100_100	MF	0	0h	0.0748	165
105	A9	P2	1/2MS	0mM	Water	100_100	MF	0	0h	0.074699998	165
106	A10	P2	1/2MS	0mM	Water	0_0	MF	0	0h	0.074699998	166
107	A11	P2	1/2MS	0mM	Water	0_0	MF	0	0h	0.0744	165
108	A12	P2	1/2MS	0mM	Water	0_0	MF	0	0h	0.074600004	167
109	B1	P2	M9	0mM	Water	100_0	MF	0	0h	0.082000002	123
110	B2	P2	M9	0mM	Water	100_0	MF	0	0h	0.081600003	126
111	B3	P2	M9	0mM	Water	100_0	MF	0	0h	0.081500001	126
112	B4	P2	M9	0mM	Water	0_100	MF	0	0h	0.081699997	127
113	B5	P2	M9	0mM	Water	0_100	MF	0	0h	0.081600003	128
114	B6	P2	M9	0mM	Water	0_100	MF	0	0h	0.0814	127
115	B7	P2	M9	0mM	Water	100_100	MF	0	0h	0.081299998	126
116	B8	P2	M9	0mM	Water	100_100	MF	0	0h	0.081600003	127
117	B9	P2	M9	0mM	Water	100_100	MF	0	0h	0.081900001	126
118	B10	P2	M9	0mM	Water	0_0	MF	0	0h	0.081799999	128
119	B11	P2	M9	0mM	Water	0_0	MF	0	0h	0.081600003	128
120	B12	P2	M9	0mM	Water	0_0	MF	0	0h	0.0814	125
121	A1	P1	1/2MS	75mM	3OMG	100_0	F16	24	24h	0.0986	177
122	A2	P1	1/2MS	75mM	3OMG	100_0	F16	24	24h	0.095100001	182
123	A3	P1	1/2MS	75mM	3OMG	100_0	F16	24	24h	0.094499998	184
124	A4	P1	1/2MS	75mM	D.Glucose	0_100	F16	24	24h	0.159199998	1206
125	A5	P1	1/2MS	75mM	D.Glucose	0_100	F16	24	24h	0.155399993	1151
126	A6	P1	1/2MS	75mM	D.Glucose	0_100	F16	24	24h	0.156599998	1194
127	A7	P1	1/2MS	75mM	3OMG_D.Glucose	100_100	F16	24	24h	0.152199998	1346
128	A8	P1	1/2MS	75mM	3OMG_D.Glucose	100_100	F16	24	24h	0.153799996	1497
129	A9	P1	1/2MS	75mM	3OMG_D.Glucose	100_100	F16	24	24h	0.157900006	1392
130	A10	P1	1/2MS	75mM	Water	0_0	F16	24	24h	0.096699998	252
131	A11	P1	1/2MS	75mM	Water	0_0	F16	24	24h	0.097800002	247
132	A12	P1	1/2MS	75mM	Water	0_0	F16	24	24h	0.099200003	233
133	B1	P1	1/2MS	7.5mM	3OMG	100_0	F16	24	24h	0.093699999	164
134	B2	P1	1/2MS	7.5mM	3OMG	100_0	F16	24	24h	0.092299998	171
135	B3	P1	1/2MS	7.5mM	3OMG	100_0	F16	24	24h	0.093599997	173
136	B4	P1	1/2MS	7.5mM	D.Glucose	0_100	F16	24	24h	0.153799996	1452
137	B5	P1	1/2MS	7.5mM	D.Glucose	0_100	F16	24	24h	0.154799998	1455
138	B6	P1	1/2MS	7.5mM	D.Glucose	0_100	F16	24	24h	0.154799998	1673
139	B7	P1	1/2MS	7.5mM	3OMG_D.Glucose	100_100	F16	24	24h	0.152600005	1626
140	B8	P1	1/2MS	7.5mM	3OMG_D.Glucose	100_100	F16	24	24h	0.151999995	1539
141	B9	P1	1/2MS	7.5mM	3OMG_D.Glucose	100_100	F16	24	24h	0.152700007	1644
142	B10	P1	1/2MS	7.5mM	Water	0_0	F16	24	24h	0.093999997	247
143	B11	P1	1/2MS	7.5mM	Water	0_0	F16	24	24h	0.0955	248
144	B12	P1	1/2MS	7.5mM	Water	0_0	F16	24	24h	0.098300003	232
145	C1	P1	1/2MS	0.75mM	3OMG	100_0	F16	24	24h	0.089199997	156
146	C2	P1	1/2MS	0.75mM	3OMG	100_0	F16	24	24h	0.093000002	163
147	C3	P1	1/2MS	0.75mM	3OMG	100_0	F16	24	24h	0.0955	167
148	C4	P1	1/2MS	0.75mM	D.Glucose	0_100	F16	24	24h	0.135000005	806
149	C5	P1	1/2MS	0.75mM	D.Glucose	0_100	F16	24	24h	0.143099993	694
150	C6	P1	1/2MS	0.75mM	D.Glucose	0_100	F16	24	24h	0.147200003	706
151	C7	P1	1/2MS	0.75mM	3OMG_D.Glucose	100_100	F16	24	24h	0.128600001	837
152	C8	P1	1/2MS	0.75mM	3OMG_D.Glucose	100_100	F16	24	24h	0.131600007	775
153	C9	P1	1/2MS	0.75mM	3OMG_D.Glucose	100_100	F16	24	24h	0.120099999	677
154	C10	P1	1/2MS	0.75mM	Water	0_0	F16	24	24h	0.0955	239
155	C11	P1	1/2MS	0.75mM	Water	0_0	F16	24	24h	0.095600002	237
156	C12	P1	1/2MS	0.75mM	Water	0_0	F16	24	24h	0.097900003	225
157	D1	P1	1/2MS	0mM	3OMG	100_0	F16	24	24h	0.096000001	254
158	D2	P1	1/2MS	0mM	3OMG	100_0	F16	24	24h	0.095899999	260
159	D3	P1	1/2MS	0mM	3OMG	100_0	F16	24	24h	0.0999	243
160	D4	P1	1/2MS	0mM	D.Glucose	0_100	F16	24	24h	0.105400003	247
161	D5	P1	1/2MS	0mM	D.Glucose	0_100	F16	24	24h	0.111599997	246
162	D6	P1	1/2MS	0mM	D.Glucose	0_100	F16	24	24h	0.107299998	237
163	D7	P1	1/2MS	0mM	3OMG_D.Glucose	100_100	F16	24	24h	0.1008	260
164	D8	P1	1/2MS	0mM	3OMG_D.Glucose	100_100	F16	24	24h	0.103	252
165	D9	P1	1/2MS	0mM	3OMG_D.Glucose	100_100	F16	24	24h	0.097499996	244
166	D10	P1	1/2MS	0mM	Water	0_0	F16	24	24h	0.097800002	242
167	D11	P1	1/2MS	0mM	Water	0_0	F16	24	24h	0.094400004	228
168	D12	P1	1/2MS	0mM	Water	0_0	F16	24	24h	0.0977	226
169	E1	P1	M9	75mM	3OMG	100_0	F16	24	24h	0.091700003	184
170	E2	P1	M9	75mM	3OMG	100_0	F16	24	24h	0.093000002	181
171	E3	P1	M9	75mM	3OMG	100_0	F16	24	24h	0.095399998	175
172	E4	P1	M9	75mM	D.Glucose	0_100	F16	24	24h	0.166700006	466
173	E5	P1	M9	75mM	D.Glucose	0_100	F16	24	24h	0.165600002	482
174	E6	P1	M9	75mM	D.Glucose	0_100	F16	24	24h	0.163599998	486
175	E7	P1	M9	75mM	3OMG_D.Glucose	100_100	F16	24	24h	0.157299995	670
176	E8	P1	M9	75mM	3OMG_D.Glucose	100_100	F16	24	24h	0.157199994	628
177	E9	P1	M9	75mM	3OMG_D.Glucose	100_100	F16	24	24h	0.158800006	626
178	E10	P1	M9	75mM	Water	0_0	F16	24	24h	0.098099999	176
179	E11	P1	M9	75mM	Water	0_0	F16	24	24h	0.099399999	179
180	E12	P1	M9	75mM	Water	0_0	F16	24	24h	0.103100002	186
181	F1	P1	M9	7.5mM	3OMG	100_0	F16	24	24h	0.092399999	173
182	F2	P1	M9	7.5mM	3OMG	100_0	F16	24	24h	0.094899997	175
183	F3	P1	M9	7.5mM	3OMG	100_0	F16	24	24h	0.093999997	170
184	F4	P1	M9	7.5mM	D.Glucose	0_100	F16	24	24h	0.176499993	503
185	F5	P1	M9	7.5mM	D.Glucose	0_100	F16	24	24h	0.173299998	486
186	F6	P1	M9	7.5mM	D.Glucose	0_100	F16	24	24h	0.172800004	495
187	F7	P1	M9	7.5mM	3OMG_D.Glucose	100_100	F16	24	24h	0.179299995	501
188	F8	P1	M9	7.5mM	3OMG_D.Glucose	100_100	F16	24	24h	0.177699998	519
189	F9	P1	M9	7.5mM	3OMG_D.Glucose	100_100	F16	24	24h	0.178599998	545
190	F10	P1	M9	7.5mM	Water	0_0	F16	24	24h	0.095799997	178
191	F11	P1	M9	7.5mM	Water	0_0	F16	24	24h	0.094499998	178
192	F12	P1	M9	7.5mM	Water	0_0	F16	24	24h	0.094499998	182
193	G1	P1	M9	0.75mM	3OMG	100_0	F16	24	24h	0.091300003	168
194	G2	P1	M9	0.75mM	3OMG	100_0	F16	24	24h	0.090899996	171
195	G3	P1	M9	0.75mM	3OMG	100_0	F16	24	24h	0.0955	171
196	G4	P1	M9	0.75mM	D.Glucose	0_100	F16	24	24h	0.129500002	366
197	G5	P1	M9	0.75mM	D.Glucose	0_100	F16	24	24h	0.127599999	339
198	G6	P1	M9	0.75mM	D.Glucose	0_100	F16	24	24h	0.126100004	328
199	G7	P1	M9	0.75mM	3OMG_D.Glucose	100_100	F16	24	24h	0.125200003	378
200	G8	P1	M9	0.75mM	3OMG_D.Glucose	100_100	F16	24	24h	0.126300007	343
201	G9	P1	M9	0.75mM	3OMG_D.Glucose	100_100	F16	24	24h	0.124899998	353
202	G10	P1	M9	0.75mM	Water	0_0	F16	24	24h	0.095100001	177
203	G11	P1	M9	0.75mM	Water	0_0	F16	24	24h	0.095799997	181
204	G12	P1	M9	0.75mM	Water	0_0	F16	24	24h	0.095899999	179
205	H1	P1	M9	0mM	3OMG	100_0	F16	24	24h	0.101400003	213
206	H2	P1	M9	0mM	3OMG	100_0	F16	24	24h	0.0964	184
207	H3	P1	M9	0mM	3OMG	100_0	F16	24	24h	0.095700003	176
208	H4	P1	M9	0mM	D.Glucose	0_100	F16	24	24h	0.0973	175
209	H5	P1	M9	0mM	D.Glucose	0_100	F16	24	24h	0.100199997	184
210	H6	P1	M9	0mM	D.Glucose	0_100	F16	24	24h	0.098200001	179
211	H7	P1	M9	0mM	3OMG_D.Glucose	100_100	F16	24	24h	0.098200001	184
212	H8	P1	M9	0mM	3OMG_D.Glucose	100_100	F16	24	24h	0.097999997	181
213	H9	P1	M9	0mM	3OMG_D.Glucose	100_100	F16	24	24h	0.097599998	183
214	H10	P1	M9	0mM	Water	0_0	F16	24	24h	0.100400001	177
215	H11	P1	M9	0mM	Water	0_0	F16	24	24h	0.095899999	186
216	H12	P1	M9	0mM	Water	0_0	F16	24	24h	0.097199999	183
217	A1	P2	1/2MS	0mM	Water	100_0	MF	24	24h	0.081600003	134
218	A2	P2	1/2MS	0mM	Water	100_0	MF	24	24h	0.079400003	135
219	A3	P2	1/2MS	0mM	Water	100_0	MF	24	24h	0.0801	142
220	A4	P2	1/2MS	0mM	Water	0_100	MF	24	24h	0.079300001	143
221	A5	P2	1/2MS	0mM	Water	0_100	MF	24	24h	0.078599997	143
222	A6	P2	1/2MS	0mM	Water	0_100	MF	24	24h	0.078400001	153
223	A7	P2	1/2MS	0mM	Water	100_100	MF	24	24h	0.078699999	143
224	A8	P2	1/2MS	0mM	Water	100_100	MF	24	24h	0.0792	142
225	A9	P2	1/2MS	0mM	Water	100_100	MF	24	24h	0.079599999	139
226	A10	P2	1/2MS	0mM	Water	0_0	MF	24	24h	0.079899997	140
227	A11	P2	1/2MS	0mM	Water	0_0	MF	24	24h	0.079499997	141
228	A12	P2	1/2MS	0mM	Water	0_0	MF	24	24h	0.079499997	139
229	B1	P2	M9	0mM	Water	100_0	MF	24	24h	0.083800003	122
230	B2	P2	M9	0mM	Water	100_0	MF	24	24h	0.083300002	121
231	B3	P2	M9	0mM	Water	100_0	MF	24	24h	0.082699999	123
232	B4	P2	M9	0mM	Water	0_100	MF	24	24h	0.082900003	122
233	B5	P2	M9	0mM	Water	0_100	MF	24	24h	0.082699999	122
234	B6	P2	M9	0mM	Water	0_100	MF	24	24h	0.082699999	122
235	B7	P2	M9	0mM	Water	100_100	MF	24	24h	0.082599998	121
236	B8	P2	M9	0mM	Water	100_100	MF	24	24h	0.082999997	122
237	B9	P2	M9	0mM	Water	100_100	MF	24	24h	0.0832	122
238	B10	P2	M9	0mM	Water	0_0	MF	24	24h	0.0832	123
239	B11	P2	M9	0mM	Water	0_0	MF	24	24h	0.084399998	123
240	B12	P2	M9	0mM	Water	0_0	MF	24	24h	0.082500003	121
241	A1	P1	1/2MS	75mM	3OMG	100_0	F16	48	48H	0.103	187
242	A2	P1	1/2MS	75mM	3OMG	100_0	F16	48	48H	0.098700002	188
243	A3	P1	1/2MS	75mM	3OMG	100_0	F16	48	48H	0.098800004	188
244	A4	P1	1/2MS	75mM	D.Glucose	0_100	F16	48	48H	0.211600006	1355
245	A5	P1	1/2MS	75mM	D.Glucose	0_100	F16	48	48H	0.203600004	1269
246	A6	P1	1/2MS	75mM	D.Glucose	0_100	F16	48	48H	0.203799993	1267
247	A7	P1	1/2MS	75mM	3OMG_D.Glucose	100_100	F16	48	48H	0.198699996	1454
248	A8	P1	1/2MS	75mM	3OMG_D.Glucose	100_100	F16	48	48H	0.216000006	1604
249	A9	P1	1/2MS	75mM	3OMG_D.Glucose	100_100	F16	48	48H	0.210899994	1532
250	A10	P1	1/2MS	75mM	Water	0_0	F16	48	48H	0.102399997	269
251	A11	P1	1/2MS	75mM	Water	0_0	F16	48	48H	0.102600001	261
252	A12	P1	1/2MS	75mM	Water	0_0	F16	48	48H	0.105899997	251
253	B1	P1	1/2MS	7.5mM	3OMG	100_0	F16	48	48H	0.091799997	159
254	B2	P1	1/2MS	7.5mM	3OMG	100_0	F16	48	48H	0.090599999	166
255	B3	P1	1/2MS	7.5mM	3OMG	100_0	F16	48	48H	0.090999998	167
256	B4	P1	1/2MS	7.5mM	D.Glucose	0_100	F16	48	48H	0.196799994	1457
257	B5	P1	1/2MS	7.5mM	D.Glucose	0_100	F16	48	48H	0.1963	1482
258	B6	P1	1/2MS	7.5mM	D.Glucose	0_100	F16	48	48H	0.197600007	1701
259	B7	P1	1/2MS	7.5mM	3OMG_D.Glucose	100_100	F16	48	48H	0.192699999	1673
260	B8	P1	1/2MS	7.5mM	3OMG_D.Glucose	100_100	F16	48	48H	0.194900006	1570
261	B9	P1	1/2MS	7.5mM	3OMG_D.Glucose	100_100	F16	48	48H	0.194499999	1652
262	B10	P1	1/2MS	7.5mM	Water	0_0	F16	48	48H	0.097400002	278
263	B11	P1	1/2MS	7.5mM	Water	0_0	F16	48	48H	0.098700002	274
264	B12	P1	1/2MS	7.5mM	Water	0_0	F16	48	48H	0.1039	254
265	C1	P1	1/2MS	0.75mM	3OMG	100_0	F16	48	48H	0.087700002	151
266	C2	P1	1/2MS	0.75mM	3OMG	100_0	F16	48	48H	0.0911	162
267	C3	P1	1/2MS	0.75mM	3OMG	100_0	F16	48	48H	0.092	165
268	C4	P1	1/2MS	0.75mM	D.Glucose	0_100	F16	48	48H	0.120499998	680
269	C5	P1	1/2MS	0.75mM	D.Glucose	0_100	F16	48	48H	0.123400003	610
270	C6	P1	1/2MS	0.75mM	D.Glucose	0_100	F16	48	48H	0.121299997	612
271	C7	P1	1/2MS	0.75mM	3OMG_D.Glucose	100_100	F16	48	48H	0.1043	632
272	C8	P1	1/2MS	0.75mM	3OMG_D.Glucose	100_100	F16	48	48H	0.109200001	597
273	C9	P1	1/2MS	0.75mM	3OMG_D.Glucose	100_100	F16	48	48H	0.109899998	553
274	C10	P1	1/2MS	0.75mM	Water	0_0	F16	48	48H	0.097000003	260
275	C11	P1	1/2MS	0.75mM	Water	0_0	F16	48	48H	0.097900003	256
276	C12	P1	1/2MS	0.75mM	Water	0_0	F16	48	48H	0.1017	244
277	D1	P1	1/2MS	0mM	3OMG	100_0	F16	48	48H	0.100500003	271
278	D2	P1	1/2MS	0mM	3OMG	100_0	F16	48	48H	0.099399999	280
279	D3	P1	1/2MS	0mM	3OMG	100_0	F16	48	48H	0.101400003	266
280	D4	P1	1/2MS	0mM	D.Glucose	0_100	F16	48	48H	0.101300001	260
281	D5	P1	1/2MS	0mM	D.Glucose	0_100	F16	48	48H	0.100299999	263
282	D6	P1	1/2MS	0mM	D.Glucose	0_100	F16	48	48H	0.097400002	258
283	D7	P1	1/2MS	0mM	3OMG_D.Glucose	100_100	F16	48	48H	0.098399997	276
284	D8	P1	1/2MS	0mM	3OMG_D.Glucose	100_100	F16	48	48H	0.100400001	276
285	D9	P1	1/2MS	0mM	3OMG_D.Glucose	100_100	F16	48	48H	0.097599998	265
286	D10	P1	1/2MS	0mM	Water	0_0	F16	48	48H	0.0995	257
287	D11	P1	1/2MS	0mM	Water	0_0	F16	48	48H	0.096699998	249
288	D12	P1	1/2MS	0mM	Water	0_0	F16	48	48H	0.101000004	251
289	E1	P1	M9	75mM	3OMG	100_0	F16	48	48H	0.093500003	184
290	E2	P1	M9	75mM	3OMG	100_0	F16	48	48H	0.094300002	186
291	E3	P1	M9	75mM	3OMG	100_0	F16	48	48H	0.096500002	182
292	E4	P1	M9	75mM	D.Glucose	0_100	F16	48	48H	0.236100003	507
293	E5	P1	M9	75mM	D.Glucose	0_100	F16	48	48H	0.238399997	525
294	E6	P1	M9	75mM	D.Glucose	0_100	F16	48	48H	0.235100001	528
295	E7	P1	M9	75mM	3OMG_D.Glucose	100_100	F16	48	48H	0.237499997	715
296	E8	P1	M9	75mM	3OMG_D.Glucose	100_100	F16	48	48H	0.233700007	673
297	E9	P1	M9	75mM	3OMG_D.Glucose	100_100	F16	48	48H	0.234699994	666
298	E10	P1	M9	75mM	Water	0_0	F16	48	48H	0.0955	183
299	E11	P1	M9	75mM	Water	0_0	F16	48	48H	0.096699998	190
300	E12	P1	M9	75mM	Water	0_0	F16	48	48H	0.101099998	190
301	F1	P1	M9	7.5mM	3OMG	100_0	F16	48	48H	0.0898	170
302	F2	P1	M9	7.5mM	3OMG	100_0	F16	48	48H	0.092100002	175
303	F3	P1	M9	7.5mM	3OMG	100_0	F16	48	48H	0.090800002	173
304	F4	P1	M9	7.5mM	D.Glucose	0_100	F16	48	48H	0.260800004	533
305	F5	P1	M9	7.5mM	D.Glucose	0_100	F16	48	48H	0.256700009	523
306	F6	P1	M9	7.5mM	D.Glucose	0_100	F16	48	48H	0.257600009	535
307	F7	P1	M9	7.5mM	3OMG_D.Glucose	100_100	F16	48	48H	0.266900003	561
308	F8	P1	M9	7.5mM	3OMG_D.Glucose	100_100	F16	48	48H	0.268400013	574
309	F9	P1	M9	7.5mM	3OMG_D.Glucose	100_100	F16	48	48H	0.268999994	584
310	F10	P1	M9	7.5mM	Water	0_0	F16	48	48H	0.093400002	183
311	F11	P1	M9	7.5mM	Water	0_0	F16	48	48H	0.091899998	187
312	F12	P1	M9	7.5mM	Water	0_0	F16	48	48H	0.092600003	195
313	G1	P1	M9	0.75mM	3OMG	100_0	F16	48	48H	0.089400001	167
314	G2	P1	M9	0.75mM	3OMG	100_0	F16	48	48H	0.0889	169
315	G3	P1	M9	0.75mM	3OMG	100_0	F16	48	48H	0.092500001	171
316	G4	P1	M9	0.75mM	D.Glucose	0_100	F16	48	48H	0.1219	380
317	G5	P1	M9	0.75mM	D.Glucose	0_100	F16	48	48H	0.119800001	355
318	G6	P1	M9	0.75mM	D.Glucose	0_100	F16	48	48H	0.119099997	346
