"Compound","KEGG_ID","KEGG_Pathways"
"Alanine","cpd:C00041","Alanine, aspartate and glutamate metabolism; Cysteine and methionine metabolism; Taurine and hypotaurine metabolism; Selenocompound metabolism; D-Amino acid metabolism; Carbon fixation by Calvin cycle; Aminoacyl-tRNA biosynthesis; Biosynthesis of various other secondary metabolites; Biosynthesis of plant secondary metabolites; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Vancomycin resistance; ABC transporters; Sulfur relay system; Protein digestion and absorption; Mineral absorption; Central carbon metabolism in cancer"
"Aspartate","cpd:C00049","Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Glycine, serine and threonine metabolism; Monobactam biosynthesis; Cysteine and methionine metabolism; Lysine biosynthesis; Histidine metabolism; beta-Alanine metabolism; Cyanoamino acid metabolism; D-Amino acid metabolism; Glyoxylate and dicarboxylate metabolism; Carbon fixation by Calvin cycle; Nicotinate and nicotinamide metabolism; Pantothenate and CoA biosynthesis; Aminoacyl-tRNA biosynthesis; Biosynthesis of various other secondary metabolites; Biosynthesis of various antibiotics; Biosynthesis of various plant secondary metabolites; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; ABC transporters; Two-component system; Bacterial chemotaxis; Neuroactive ligand-receptor interaction; Protein digestion and absorption; Central carbon metabolism in cancer"
"Adenosine","cpd:C00002","Oxidative phosphorylation; Photosynthesis; Purine metabolism; One carbon pool by folate; Zeatin biosynthesis; Biosynthesis of various antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites; Nucleotide metabolism; Biosynthesis of cofactors; Bacterial secretion system; Calcium signaling pathway; HIF-1 signaling pathway; Neuroactive ligand-receptor interaction; Neuroactive ligand signaling; Lysosome; Efferocytosis; Necroptosis; Platelet activation; NOD-like receptor signaling pathway; Thermogenesis; Synaptic vesicle cycle; Taste transduction; Inflammatory mediator regulation of TRP channels; Insulin secretion; Prolactin signaling pathway; Renin secretion; Type II diabetes mellitus; Parkinson disease; Pathways of neurodegeneration - multiple diseases; Pertussis; Hypertrophic cardiomyopathy; Diabetic cardiomyopathy"
"Glycine","cpd:C00037","Primary bile acid biosynthesis; Purine metabolism; Glycine, serine and threonine metabolism; Lysine degradation; Phosphonate and phosphinate metabolism; Cyanoamino acid metabolism; D-Amino acid metabolism; Glutathione metabolism; Glyoxylate and dicarboxylate metabolism; One carbon pool by folate; Methane metabolism; Thiamine metabolism; Lipoic acid metabolism; Porphyrin metabolism; Aminoacyl-tRNA biosynthesis; Biosynthesis of plant secondary metabolites; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; Vancomycin resistance; ABC transporters; Biofilm formation - Escherichia coli; Neuroactive ligand-receptor interaction; Neuroactive ligand signaling; Synaptic vesicle cycle; Protein digestion and absorption; Mineral absorption; Central carbon metabolism in cancer"
"gamma-Tocopherol","cpd:C02483","Ubiquinone and other terpenoid-quinone biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of cofactors"
"Galactonate","cpd:C00880","Galactose metabolism; Metabolic pathways; Microbial metabolism in diverse environments"
"myo-Inositol-1-P",NA,NA
"Coniferylalcohol",NA,NA
"Digalactosylglycerol",NA,NA
"Raffinose","cpd:C00492","Galactose metabolism; Metabolic pathways; ABC transporters"
"Gluconate","cpd:C00204","Pentose phosphate pathway; Pentose and glucuronate interconversions; Metabolic pathways; Microbial metabolism in diverse environments; Carbon metabolism"
"Fructopyranose-1",NA,NA
"UGlucosinolatebreakdown140-4",NA,NA
"Fructose","cpd:C00085","Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Galactose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism; Methane metabolism; Carbon fixation by Calvin cycle; Biosynthesis of various other secondary metabolites; Biosynthesis of various antibiotics; Biosynthesis of plant secondary metabolites; Biosynthesis of phenylpropanoids; Biosynthesis of terpenoids and steroids; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of alkaloids derived from histidine and purine; Biosynthesis of alkaloids derived from terpenoid and polyketide; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; Biosynthesis of nucleotide sugars; AMPK signaling pathway; Glucagon signaling pathway; Insulin resistance; Central carbon metabolism in cancer; Diabetic cardiomyopathy"
"2-Hydroxyglutarate","cpd:C01087","Lysine degradation; Metabolic pathways; Microbial metabolism in diverse environments"
"5-Ethyl-Glucopyranoside",NA,NA
"Glucose","cpd:C00029","Pentose and glucuronate interconversions; Galactose metabolism; Ascorbate and aldarate metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism; Neomycin, kanamycin and gentamicin biosynthesis; Biosynthesis of various nucleotide sugars; Teichoic acid biosynthesis; Glycerolipid metabolism; Sulfoquinovose metabolism; Zeatin biosynthesis; Biosynthesis of ansamycins; Biosynthesis of plant secondary metabolites; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Biosynthesis of cofactors; Biosynthesis of nucleotide sugars; Neuroactive ligand signaling"
"beta-indole-3-acetonitrile",NA,NA
"Phenylalanine","cpd:C00079","Phenylalanine metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis; Cyanoamino acid metabolism; D-Amino acid metabolism; Diterpenoid biosynthesis; Phenylpropanoid biosynthesis; Tropane, piperidine and pyridine alkaloid biosynthesis; Glucosinolate biosynthesis; Aminoacyl-tRNA biosynthesis; Biosynthesis of various alkaloids; Biosynthesis of various other secondary metabolites; Biosynthesis of various plant secondary metabolites; Biosynthesis of plant secondary metabolites; Biosynthesis of phenylpropanoids; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; ABC transporters; Protein digestion and absorption; Mineral absorption; Central carbon metabolism in cancer"
"beta-Sitosterol","cpd:C01753","Steroid biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of terpenoids and steroids; Metabolic pathways; Biosynthesis of secondary metabolites"
"Citrate","cpd:C00158","Citrate cycle (TCA cycle); Alanine, aspartate and glutamate metabolism; Glyoxylate and dicarboxylate metabolism; Other carbon fixation pathways; Biosynthesis of various siderophores; Biosynthesis of plant secondary metabolites; Biosynthesis of phenylpropanoids; Biosynthesis of terpenoids and steroids; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of alkaloids derived from histidine and purine; Biosynthesis of alkaloids derived from terpenoid and polyketide; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; Two-component system; Taste transduction; Glucagon signaling pathway; Central carbon metabolism in cancer"
"Mannosamine","cpd:C00625",NA
"Campesterol","cpd:C01789","Steroid biosynthesis; Brassinosteroid biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of terpenoids and steroids; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites"
"Arabinose","cpd:C00216","Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Amino sugar and nucleotide sugar metabolism; Metabolic pathways; Biosynthesis of nucleotide sugars"
"Isomaltose","cpd:C00252","Starch and sucrose metabolism; Metabolic pathways"
"Valine","cpd:C00141","Valine, leucine and isoleucine degradation; Valine, leucine and isoleucine biosynthesis; Pantothenate and CoA biosynthesis; Lipoic acid metabolism; Glucosinolate biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors"
"Ribose","cpd:C00117","Pentose phosphate pathway; Purine metabolism; Phosphonate and phosphinate metabolism; Carbon fixation by Calvin cycle; Vitamin B6 metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; Thyroid hormone synthesis"
"3-O-methylGlucose",NA,NA
"Inositol-3","cpd:C04549","Inositol phosphate metabolism; Metabolic pathways; Phosphatidylinositol signaling system; Autophagy - other; Autophagy - yeast; Autophagy - animal; Endocytosis; Phagosome; Alzheimer disease; Amyotrophic lateral sclerosis; Huntington disease; Spinocerebellar ataxia; Pathways of neurodegeneration - multiple diseases; Shigellosis; Salmonella infection; Tuberculosis"
"Pentonate","cpd:C00684","Ascorbate and aldarate metabolism; Metabolic pathways"
"Isothiocyanoethylphosphate",NA,NA
"Arg","cpd:C00062","Arginine biosynthesis; Monobactam biosynthesis; Arginine and proline metabolism; Clavulanic acid biosynthesis; D-Amino acid metabolism; Aminoacyl-tRNA biosynthesis; Biosynthesis of various antibiotics; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids; ABC transporters; Efferocytosis; mTOR signaling pathway; Protein digestion and absorption; Amyotrophic lateral sclerosis; Pathways of neurodegeneration - multiple diseases; Chagas disease; Amoebiasis; Central carbon metabolism in cancer"
"Serine","cpd:C00065","Glycine, serine and threonine metabolism; Monobactam biosynthesis; Cysteine and methionine metabolism; Cyanoamino acid metabolism; D-Amino acid metabolism; Glycerophospholipid metabolism; Sphingolipid metabolism; Glyoxylate and dicarboxylate metabolism; One carbon pool by folate; Methane metabolism; Sulfur metabolism; Aminoacyl-tRNA biosynthesis; Biosynthesis of various siderophores; Biosynthesis of various antibiotics; Nonribosomal peptide structures; Biosynthesis of plant secondary metabolites; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; Vancomycin resistance; ABC transporters; Sphingolipid signaling pathway; Protein digestion and absorption; Mineral absorption; Central carbon metabolism in cancer"
"4-Hydroxycinnamate","cpd:C00811","Ubiquinone and other terpenoid-quinone biosynthesis; Tyrosine metabolism; Phenylpropanoid biosynthesis; Isoquinoline alkaloid biosynthesis; Biosynthesis of phenylpropanoids; Metabolic pathways; Biosynthesis of secondary metabolites; Degradation of aromatic compounds"
"UGlucosinolatebreakdown140-1",NA,NA
"Leucine","cpd:C00123","Valine, leucine and isoleucine degradation; Valine, leucine and isoleucine biosynthesis; Glucosinolate biosynthesis; Aminoacyl-tRNA biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from histidine and purine; Metabolic pathways; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; ABC transporters; mTOR signaling pathway; Protein digestion and absorption; Mineral absorption; Shigellosis; Central carbon metabolism in cancer"
"Monostearin",NA,NA
"Pyruvate","cpd:C00022","Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pentose phosphate pathway; Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Alanine, aspartate and glutamate metabolism; Glycine, serine and threonine metabolism; Monobactam biosynthesis; Cysteine and methionine metabolism; Valine, leucine and isoleucine biosynthesis; Arginine and proline metabolism; Tyrosine metabolism; Phenylalanine metabolism; Benzoate degradation; Taurine and hypotaurine metabolism; Phosphonate and phosphinate metabolism; D-Amino acid metabolism; Sulfoquinovose metabolism; Pyruvate metabolism; Dioxin degradation; Xylene degradation; Glyoxylate and dicarboxylate metabolism; Butanoate metabolism; C5-Branched dibasic acid metabolism; Methane metabolism; Carbon fixation by Calvin cycle; Other carbon fixation pathways; Thiamine metabolism; Nicotinate and nicotinamide metabolism; Pantothenate and CoA biosynthesis; Lipoic acid metabolism; Terpenoid backbone biosynthesis; Steroid degradation; Biosynthesis of various other secondary metabolites; Biosynthesis of various antibiotics; Biosynthesis of plant secondary metabolites; Biosynthesis of phenylpropanoids; Biosynthesis of terpenoids and steroids; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of alkaloids derived from histidine and purine; Biosynthesis of alkaloids derived from terpenoid and polyketide; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; 2-Oxocarboxylic acid metabolism; Degradation of aromatic compounds; Biosynthesis of amino acids; Biosynthesis of cofactors; Vancomycin resistance; Two-component system; Phosphotransferase system (PTS); HIF-1 signaling pathway; AMPK signaling pathway; Insulin secretion; Glucagon signaling pathway; Type II diabetes mellitus; Insulin resistance; Central carbon metabolism in cancer; Diabetic cardiomyopathy"
"Glycerol","cpd:C00093","Glycerolipid metabolism; Glycerophospholipid metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; ABC transporters; Choline metabolism in cancer"
"Monopalmitine",NA,NA
"myo-Inositol","cpd:C00137","Galactose metabolism; Ascorbate and aldarate metabolism; Streptomycin biosynthesis; Inositol phosphate metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Biosynthesis of nucleotide sugars; ABC transporters; Phosphatidylinositol signaling system"
"Dehydroascorbate","cpd:C01041","Ascorbate and aldarate metabolism; Metabolic pathways"
"Inositol-scyllo",NA,NA
"Dehydroascorbate","cpd:C01041","Ascorbate and aldarate metabolism; Metabolic pathways"
"Pentonate-3",NA,NA
"Malate","cpd:C00149","Citrate cycle (TCA cycle); Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Methane metabolism; Carbon fixation by Calvin cycle; Other carbon fixation pathways; Biosynthesis of plant secondary metabolites; Biosynthesis of phenylpropanoids; Biosynthesis of terpenoids and steroids; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of alkaloids derived from histidine and purine; Biosynthesis of alkaloids derived from terpenoid and polyketide; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Two-component system; Taste transduction; Glucagon signaling pathway; Proximal tubule bicarbonate reclamation; Pathways in cancer; Renal cell carcinoma; Central carbon metabolism in cancer"
"beta-Alanine","cpd:C00099","Pyrimidine metabolism; beta-Alanine metabolism; Propanoate metabolism; Pantothenate and CoA biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of cofactors; Neuroactive ligand-receptor interaction; Protein digestion and absorption"
"Threonine","cpd:C00188","Glycine, serine and threonine metabolism; Monobactam biosynthesis; Valine, leucine and isoleucine biosynthesis; D-Amino acid metabolism; Porphyrin metabolism; Aminoacyl-tRNA biosynthesis; Biosynthesis of plant secondary metabolites; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Biosynthesis of amino acids; ABC transporters; Protein digestion and absorption; Mineral absorption"
"Sinapinate-cis",NA,NA
"Ethanolamine","cpd:C00157","Glycerophospholipid metabolism; Arachidonic acid metabolism; Linoleic acid metabolism; alpha-Linolenic acid metabolism; Metabolic pathways; Biosynthesis of secondary metabolites; Retrograde endocannabinoid signaling; Folate transport and metabolism; Choline metabolism in cancer"
"Fructose","cpd:C00085","Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Fructose and mannose metabolism; Galactose metabolism; Starch and sucrose metabolism; Amino sugar and nucleotide sugar metabolism; Methane metabolism; Carbon fixation by Calvin cycle; Biosynthesis of various other secondary metabolites; Biosynthesis of various antibiotics; Biosynthesis of plant secondary metabolites; Biosynthesis of phenylpropanoids; Biosynthesis of terpenoids and steroids; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of alkaloids derived from histidine and purine; Biosynthesis of alkaloids derived from terpenoid and polyketide; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; Biosynthesis of nucleotide sugars; AMPK signaling pathway; Glucagon signaling pathway; Insulin resistance; Central carbon metabolism in cancer; Diabetic cardiomyopathy"
"Dehydroascorbate","cpd:C01041","Ascorbate and aldarate metabolism; Metabolic pathways"
"Erythronate","cpd:C03064","Ascorbate and aldarate metabolism; Metabolic pathways"
"Glucose-6-P",NA,NA
"Galactaricacid",NA,NA
"Galacturonate","cpd:C00333","Pentose and glucuronate interconversions; Ascorbate and aldarate metabolism; Amino sugar and nucleotide sugar metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Biosynthesis of cofactors; Biosynthesis of nucleotide sugars; ABC transporters"
"Propyleneglycol",NA,NA
"Borate","cpd:C13681",NA
"Glutamate","cpd:C00025","Arginine biosynthesis; Alanine, aspartate and glutamate metabolism; Arginine and proline metabolism; Carbapenem biosynthesis; Histidine metabolism; Taurine and hypotaurine metabolism; D-Amino acid metabolism; Glutathione metabolism; Neomycin, kanamycin and gentamicin biosynthesis; Glyoxylate and dicarboxylate metabolism; Butanoate metabolism; C5-Branched dibasic acid metabolism; Porphyrin metabolism; Nitrogen metabolism; Aminoacyl-tRNA biosynthesis; Biosynthesis of various siderophores; Biosynthesis of various antibiotics; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; ABC transporters; Two-component system; FoxO signaling pathway; Phospholipase D signaling pathway; Neuroactive ligand-receptor interaction; Neuroactive ligand signaling; Ferroptosis; Gap junction; Circadian entrainment; Long-term potentiation; Synaptic vesicle cycle; Retrograde endocannabinoid signaling; Glutamatergic synapse; GABAergic synapse; Long-term depression; Taste transduction; Proximal tubule bicarbonate reclamation; Protein digestion and absorption; Amyotrophic lateral sclerosis; Huntington disease; Spinocerebellar ataxia; Pathways of neurodegeneration - multiple diseases; Cocaine addiction; Amphetamine addiction; Nicotine addiction; Alcoholism; Prostate cancer; Central carbon metabolism in cancer"
"Proline","cpd:C00148","Arginine and proline metabolism; Carbapenem biosynthesis; Prodigiosin biosynthesis; Novobiocin biosynthesis; Staurosporine biosynthesis; D-Amino acid metabolism; Aminoacyl-tRNA biosynthesis; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids; ABC transporters; Protein digestion and absorption; Mineral absorption; Central carbon metabolism in cancer"
"D-Chiro-Inositol","cpd:C19891","Inositol phosphate metabolism; Metabolic pathways; Microbial metabolism in diverse environments"
"Arg","cpd:C00062","Arginine biosynthesis; Monobactam biosynthesis; Arginine and proline metabolism; Clavulanic acid biosynthesis; D-Amino acid metabolism; Aminoacyl-tRNA biosynthesis; Biosynthesis of various antibiotics; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids; ABC transporters; Efferocytosis; mTOR signaling pathway; Protein digestion and absorption; Amyotrophic lateral sclerosis; Pathways of neurodegeneration - multiple diseases; Chagas disease; Amoebiasis; Central carbon metabolism in cancer"
"Arg","cpd:C00062","Arginine biosynthesis; Monobactam biosynthesis; Arginine and proline metabolism; Clavulanic acid biosynthesis; D-Amino acid metabolism; Aminoacyl-tRNA biosynthesis; Biosynthesis of various antibiotics; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids; ABC transporters; Efferocytosis; mTOR signaling pathway; Protein digestion and absorption; Amyotrophic lateral sclerosis; Pathways of neurodegeneration - multiple diseases; Chagas disease; Amoebiasis; Central carbon metabolism in cancer"
"Galactosylglycerol","cpd:C05401","Galactose metabolism; Glycerolipid metabolism"
"hexofuranose",NA,NA
"Erythritol","cpd:C00503","ABC transporters"
"Glycerate","cpd:C00197","Glycolysis / Gluconeogenesis; Pentose phosphate pathway; Glycine, serine and threonine metabolism; Cysteine and methionine metabolism; Glycerolipid metabolism; Glyoxylate and dicarboxylate metabolism; Methane metabolism; Carbon fixation by Calvin cycle; Biosynthesis of various antibiotics; Biosynthesis of plant secondary metabolites; Biosynthesis of phenylpropanoids; Biosynthesis of terpenoids and steroids; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of alkaloids derived from histidine and purine; Biosynthesis of alkaloids derived from terpenoid and polyketide; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Biosynthesis of amino acids; Biosynthesis of cofactors; Glucagon signaling pathway; Central carbon metabolism in cancer"
"Methionine","cpd:C00019","Monobactam biosynthesis; Cysteine and methionine metabolism; Arginine and proline metabolism; One carbon pool by folate; Zeatin biosynthesis; Biosynthesis of various plant secondary metabolites; Biosynthesis of plant secondary metabolites; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of amino acids; Biosynthesis of cofactors; Sulfur relay system; Efferocytosis; Folate transport and metabolism; Chemical carcinogenesis - reactive oxygen species"
"Succinate","cpd:C00042","Citrate cycle (TCA cycle); Oxidative phosphorylation; Alanine, aspartate and glutamate metabolism; Lysine degradation; Tyrosine metabolism; Phenylalanine metabolism; Chlorocyclohexane and chlorobenzene degradation; Pyruvate metabolism; Glyoxylate and dicarboxylate metabolism; Propanoate metabolism; Butanoate metabolism; Other carbon fixation pathways; Nicotinate and nicotinamide metabolism; Sulfur metabolism; Biosynthesis of plant secondary metabolites; Biosynthesis of phenylpropanoids; Biosynthesis of terpenoids and steroids; Biosynthesis of alkaloids derived from shikimate pathway; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Biosynthesis of alkaloids derived from histidine and purine; Biosynthesis of alkaloids derived from terpenoid and polyketide; Biosynthesis of plant hormones; Metabolic pathways; Biosynthesis of secondary metabolites; Microbial metabolism in diverse environments; Carbon metabolism; Degradation of aromatic compounds; Two-component system; cAMP signaling pathway; GABAergic synapse; Glucagon signaling pathway; Central carbon metabolism in cancer"
"Glycerol-3-P","cpd:C03189",NA
"hydroxylamine","cpd:C00192","Nitrogen metabolism; Metabolic pathways; Microbial metabolism in diverse environments; Nitrogen cycle"
"Sinapoyl(cis)-Malate",NA,NA
"Mannopyranose","cpd:C00159","Fructose and mannose metabolism; Galactose metabolism; Amino sugar and nucleotide sugar metabolism; Metabolic pathways; Biosynthesis of nucleotide sugars; ABC transporters; Phosphotransferase system (PTS); Lysosome; C-type lectin receptor signaling pathway"
"alpha-Tocopherol","cpd:C02477","Ubiquinone and other terpenoid-quinone biosynthesis; Biosynthesis of plant secondary metabolites; Metabolic pathways; Biosynthesis of secondary metabolites; Biosynthesis of cofactors; Ferroptosis; Vitamin digestion and absorption"
"Isoleucine","cpd:C00407","Valine, leucine and isoleucine degradation; Valine, leucine and isoleucine biosynthesis; Cyanoamino acid metabolism; Tropane, piperidine and pyridine alkaloid biosynthesis; Glucosinolate biosynthesis; Aminoacyl-tRNA biosynthesis; Biosynthesis of plant secondary metabolites; Biosynthesis of alkaloids derived from ornithine, lysine and nicotinic acid; Metabolic pathways; Biosynthesis of secondary metabolites; 2-Oxocarboxylic acid metabolism; Biosynthesis of amino acids; ABC transporters; Protein digestion and absorption; Mineral absorption; Shigellosis; Central carbon metabolism in cancer"
"Phosphate","cpd:C00002","Oxidative phosphorylation; Photosynthesis; Purine metabolism; One carbon pool by folate; Zeatin biosynthesis; Biosynthesis of various antibiotics; Metabolic pathways; Biosynthesis of secondary metabolites; Nucleotide metabolism; Biosynthesis of cofactors; Bacterial secretion system; Calcium signaling pathway; HIF-1 signaling pathway; Neuroactive ligand-receptor interaction; Neuroactive ligand signaling; Lysosome; Efferocytosis; Necroptosis; Platelet activation; NOD-like receptor signaling pathway; Thermogenesis; Synaptic vesicle cycle; Taste transduction; Inflammatory mediator regulation of TRP channels; Insulin secretion; Prolactin signaling pathway; Renin secretion; Type II diabetes mellitus; Parkinson disease; Pathways of neurodegeneration - multiple diseases; Pertussis; Hypertrophic cardiomyopathy; Diabetic cardiomyopathy"
