Plate,Well,Value,Measurement_wavelength,ID,ID2,Validation_ID,Bacteria,F16
1,G5,0.109499998,600nm,A10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,G6,0.100599997,600nm,B3_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,G7,0.100900002,600nm,B4_Mu37,Mu37,B329_LIKE_low,B329 mTn5::ThiE,Yes
1,G8,0.083700001,600nm,C6_Mu40,Mu40,B329_LIKE_low,B329 mTn5::Gpml,Yes
1,G9,0.122299999,600nm,C10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,G10,0.0902,600nm,D1_Mu36,Mu36,B329_LIKE_low,B329 mTn5::pqqF_2,Yes
1,G11,0.126000002,600nm,D2_Mu38,Mu38,B329_LIKE_low,B329 mTn5::zorA1,Yes
1,G12,0.100699998,600nm,D10_Mu39,Mu39,B329_LIKE_low,B329 mTn5::pqq-DH_2,Yes
1,H1,0.094700001,600nm,E2_Mu35,Mu35,B329_LIKE_low,B329 mTn5::pqqF_1,Yes
1,H2,0.132200003,600nm,E10_Mu33,Mu33,B329_LIKE_low,B329 mTn5::GalE,Yes
1,H3,0.143199995,600nm,E11_Mu30,Mu30,B329_LIKE,B329 mTn5,Yes
1,H4,0.135399997,600nm,E12_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,H5,0.136000007,600nm,F2_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,H6,0.133499995,600nm,F6_Mu32,Mu32,B329_LIKE,B329 mTn5,Yes
1,H7,0.133900002,600nm,F11_Mu31,Mu31,B329_LIKE,B329 mTn5,Yes
1,H8,0.099399999,600nm,G11_Mu34,Mu34,B329_LIKE_low,B329 mTn5::pqq-DH_1,Yes
1,H9,0.137600005,600nm,A10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,H10,0.122199997,600nm,B3_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,H11,0.120999999,600nm,B4_Mu37,Mu37,B329_LIKE_low,B329 mTn5::ThiE,Yes
1,H12,0.083999999,600nm,C6_Mu40,Mu40,B329_LIKE_low,B329 mTn5::Gpml,Yes
1,A1,481,475nm/510nm,A10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,A2,355,475nm/510nm,B3_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,A3,506,475nm/510nm,B4_Mu37,Mu37,B329_LIKE_low,B329 mTn5::ThiE,Yes
1,A4,202,475nm/510nm,C6_Mu40,Mu40,B329_LIKE_low,B329 mTn5::Gpml,Yes
1,A5,556,475nm/510nm,C10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,A6,191,475nm/510nm,D1_Mu36,Mu36,B329_LIKE_low,B329 mTn5::pqqF_2,Yes
1,A7,436,475nm/510nm,D2_Mu38,Mu38,B329_LIKE_low,B329 mTn5::zorA1,Yes
1,A8,228,475nm/510nm,D10_Mu39,Mu39,B329_LIKE_low,B329 mTn5::pqq-DH_2,Yes
1,A9,194,475nm/510nm,E2_Mu35,Mu35,B329_LIKE_low,B329 mTn5::pqqF_1,Yes
1,A10,431,475nm/510nm,E10_Mu33,Mu33,B329_LIKE_low,B329 mTn5::GalE,Yes
1,A11,421,475nm/510nm,E11_Mu30,Mu30,B329_LIKE,B329 mTn5,Yes
1,A12,468,475nm/510nm,E12_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,B1,427,475nm/510nm,F2_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,B2,344,475nm/510nm,F6_Mu32,Mu32,B329_LIKE,B329 mTn5,Yes
1,B3,377,475nm/510nm,F11_Mu31,Mu31,B329_LIKE,B329 mTn5,Yes
1,B4,200,475nm/510nm,G11_Mu34,Mu34,B329_LIKE_low,B329 mTn5::pqq-DH_1,Yes
1,B5,355,475nm/510nm,A10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,B6,268,475nm/510nm,B3_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,B7,277,475nm/510nm,B4_Mu37,Mu37,B329_LIKE_low,B329 mTn5::ThiE,Yes
1,B8,202,475nm/510nm,C6_Mu40,Mu40,B329_LIKE_low,B329 mTn5::Gpml,Yes
1,B9,353,475nm/510nm,C10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,B10,199,475nm/510nm,D1_Mu36,Mu36,B329_LIKE_low,B329 mTn5::pqqF_2,Yes
1,B11,387,475nm/510nm,D2_Mu38,Mu38,B329_LIKE_low,B329 mTn5::zorA1,Yes
1,B12,223,475nm/510nm,D10_Mu39,Mu39,B329_LIKE_low,B329 mTn5::pqq-DH_2,Yes
1,C1,197,475nm/510nm,E2_Mu35,Mu35,B329_LIKE_low,B329 mTn5::pqqF_1,Yes
1,C2,395,475nm/510nm,E10_Mu33,Mu33,B329_LIKE_low,B329 mTn5::GalE,Yes
1,C3,365,475nm/510nm,E11_Mu30,Mu30,B329_LIKE,B329 mTn5,Yes
1,C4,343,475nm/510nm,E12_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,C5,331,475nm/510nm,F2_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,C6,323,475nm/510nm,F6_Mu32,Mu32,B329_LIKE,B329 mTn5,Yes
1,C7,355,475nm/510nm,F11_Mu31,Mu31,B329_LIKE,B329 mTn5,Yes
1,C8,191,475nm/510nm,G11_Mu34,Mu34,B329_LIKE_low,B329 mTn5::pqq-DH_1,Yes
1,C9,373,475nm/510nm,A10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,C10,268,475nm/510nm,B3_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,C11,281,475nm/510nm,B4_Mu37,Mu37,B329_LIKE_low,B329 mTn5::ThiE,Yes
1,C12,227,475nm/510nm,C6_Mu40,Mu40,B329_LIKE_low,B329 mTn5::Gpml,Yes
1,D1,441,475nm/510nm,C10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,D2,197,475nm/510nm,D1_Mu36,Mu36,B329_LIKE_low,B329 mTn5::pqqF_2,Yes
1,D3,387,475nm/510nm,D2_Mu38,Mu38,B329_LIKE_low,B329 mTn5::zorA1,Yes
1,D4,201,475nm/510nm,D10_Mu39,Mu39,B329_LIKE_low,B329 mTn5::pqq-DH_2,Yes
1,D5,200,475nm/510nm,E2_Mu35,Mu35,B329_LIKE_low,B329 mTn5::pqqF_1,Yes
1,D6,356,475nm/510nm,E10_Mu33,Mu33,B329_LIKE_low,B329 mTn5::GalE,Yes
1,D7,393,475nm/510nm,E11_Mu30,Mu30,B329_LIKE,B329 mTn5,Yes
1,D8,448,475nm/510nm,E12_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,D9,391,475nm/510nm,F2_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,D10,500,475nm/510nm,F6_Mu32,Mu32,B329_LIKE,B329 mTn5,Yes
1,D11,479,475nm/510nm,F11_Mu31,Mu31,B329_LIKE,B329 mTn5,Yes
1,D12,264,475nm/510nm,G11_Mu34,Mu34,B329_LIKE_low,B329 mTn5::pqq-DH_1,Yes
1,E1,483,475nm/510nm,B329_WT,B329_WT,B329_WT,B329_WT,Yes
1,E2,426,475nm/510nm,B329_WT,B329_WT,B329_WT,B329_WT,Yes
1,E3,391,475nm/510nm,B329_WT,B329_WT,B329_WT,B329_WT,Yes
1,E4,357,475nm/510nm,B329_WT,B329_WT,B329_WT,B329_WT,Yes
1,E5,363,475nm/510nm,B329_WT,B329_WT,B329_WT,B329_WT,Yes
1,E6,385,475nm/510nm,B329_WT,B329_WT,B329_WT,B329_WT,Yes
1,E7,157,475nm/510nm,MgCl2,MgCl2,MgCl2,MgCl2,Yes
1,E8,185,475nm/510nm,MgCl2,MgCl2,MgCl2,MgCl2,Yes
1,E9,188,475nm/510nm,MgCl2,MgCl2,MgCl2,MgCl2,Yes
1,E10,168,475nm/510nm,MgCl2,MgCl2,MgCl2,MgCl2,Yes
1,E11,160,475nm/510nm,MgCl2,MgCl2,MgCl2,MgCl2,Yes
1,E12,155,475nm/510nm,MgCl2,MgCl2,MgCl2,MgCl2,Yes
1,F1,537,475nm/510nm,A10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,F2,325,475nm/510nm,B3_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,F3,326,475nm/510nm,B4_Mu37,Mu37,B329_LIKE_low,B329 mTn5::ThiE,Yes
1,F4,220,475nm/510nm,C6_Mu40,Mu40,B329_LIKE_low,B329 mTn5::Gpml,Yes
1,F5,392,475nm/510nm,C10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,F6,210,475nm/510nm,D1_Mu36,Mu36,B329_LIKE_low,B329 mTn5::pqqF_2,Yes
1,F7,448,475nm/510nm,D2_Mu38,Mu38,B329_LIKE_low,B329 mTn5::zorA1,Yes
1,F8,201,475nm/510nm,D10_Mu39,Mu39,B329_LIKE_low,B329 mTn5::pqq-DH_2,Yes
1,F9,197,475nm/510nm,E2_Mu35,Mu35,B329_LIKE_low,B329 mTn5::pqqF_1,Yes
1,F10,436,475nm/510nm,E10_Mu33,Mu33,B329_LIKE_low,B329 mTn5::GalE,Yes
1,F11,460,475nm/510nm,E11_Mu30,Mu30,B329_LIKE,B329 mTn5,Yes
1,F12,492,475nm/510nm,E12_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,G1,601,475nm/510nm,F2_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,G2,502,475nm/510nm,F6_Mu32,Mu32,B329_LIKE,B329 mTn5,Yes
1,G3,531,475nm/510nm,F11_Mu31,Mu31,B329_LIKE,B329 mTn5,Yes
1,G4,223,475nm/510nm,G11_Mu34,Mu34,B329_LIKE_low,B329 mTn5::pqq-DH_1,Yes
1,G5,448,475nm/510nm,A10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,G6,317,475nm/510nm,B3_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,G7,320,475nm/510nm,B4_Mu37,Mu37,B329_LIKE_low,B329 mTn5::ThiE,Yes
1,G8,212,475nm/510nm,C6_Mu40,Mu40,B329_LIKE_low,B329 mTn5::Gpml,Yes
1,G9,481,475nm/510nm,C10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,G10,198,475nm/510nm,D1_Mu36,Mu36,B329_LIKE_low,B329 mTn5::pqqF_2,Yes
1,G11,541,475nm/510nm,D2_Mu38,Mu38,B329_LIKE_low,B329 mTn5::zorA1,Yes
1,G12,249,475nm/510nm,D10_Mu39,Mu39,B329_LIKE_low,B329 mTn5::pqq-DH_2,Yes
1,H1,215,475nm/510nm,E2_Mu35,Mu35,B329_LIKE_low,B329 mTn5::pqqF_1,Yes
1,H2,563,475nm/510nm,E10_Mu33,Mu33,B329_LIKE_low,B329 mTn5::GalE,Yes
1,H3,602,475nm/510nm,E11_Mu30,Mu30,B329_LIKE,B329 mTn5,Yes
1,H4,572,475nm/510nm,E12_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,H5,489,475nm/510nm,F2_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,H6,526,475nm/510nm,F6_Mu32,Mu32,B329_LIKE,B329 mTn5,Yes
1,H7,475,475nm/510nm,F11_Mu31,Mu31,B329_LIKE,B329 mTn5,Yes
1,H8,308,475nm/510nm,G11_Mu34,Mu34,B329_LIKE_low,B329 mTn5::pqq-DH_1,Yes
1,H9,525,475nm/510nm,A10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,H10,406,475nm/510nm,B3_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
1,H11,474,475nm/510nm,B4_Mu37,Mu37,B329_LIKE_low,B329 mTn5::ThiE,Yes
1,H12,209,475nm/510nm,C6_Mu40,Mu40,B329_LIKE_low,B329 mTn5::Gpml,Yes
2,A1,0.133900002,600nm,C10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
2,A2,0.089100003,600nm,D1_Mu36,Mu36,B329_LIKE_low,B329 mTn5::pqqF_2,Yes
2,A3,0.128299996,600nm,D2_Mu38,Mu38,B329_LIKE_low,B329 mTn5::zorA1,Yes
2,A4,0.100100003,600nm,D10_Mu39,Mu39,B329_LIKE_low,B329 mTn5::pqq-DH_2,Yes
2,A5,0.090499997,600nm,E2_Mu35,Mu35,B329_LIKE_low,B329 mTn5::pqqF_1,Yes
2,A6,0.138699993,600nm,E10_Mu33,Mu33,B329_LIKE_low,B329 mTn5::GalE,Yes
2,A7,0.140499994,600nm,E11_Mu30,Mu30,B329_LIKE,B329 mTn5,Yes
2,A8,0.127000004,600nm,E12_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
2,A9,0.137600005,600nm,F2_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
2,A10,0.132300004,600nm,F6_Mu32,Mu32,B329_LIKE,B329 mTn5,Yes
2,A11,0.129600003,600nm,F11_Mu31,Mu31,B329_LIKE,B329 mTn5,Yes
2,A12,0.123499997,600nm,G11_Mu34,Mu34,B329_LIKE_low,B329 mTn5::pqq-DH_1,Yes
2,B1,0.114600003,600nm,B329_WT,B329_WT,B329_WT,B329_WT,Yes
2,B2,0.101000004,600nm,B329_WT,B329_WT,B329_WT,B329_WT,Yes
2,B3,0.102899998,600nm,B329_WT,B329_WT,B329_WT,B329_WT,Yes
2,B4,0.103399999,600nm,B329_WT,B329_WT,B329_WT,B329_WT,Yes
2,B5,0.102899998,600nm,B329_WT,B329_WT,B329_WT,B329_WT,Yes
2,B6,0.129700005,600nm,B329_WT,B329_WT,B329_WT,B329_WT,Yes
2,B7,0.082199998,600nm,MgCl2,MgCl2,MgCl2,MgCl2,Yes
2,B8,0.081,600nm,MgCl2,MgCl2,MgCl2,MgCl2,Yes
2,B9,0.123000003,600nm,MgCl2,MgCl2,MgCl2,MgCl2,Yes
2,B10,0.0814,600nm,MgCl2,MgCl2,MgCl2,MgCl2,Yes
2,B11,0.080899999,600nm,MgCl2,MgCl2,MgCl2,MgCl2,Yes
2,B12,0.082000002,600nm,MgCl2,MgCl2,MgCl2,MgCl2,Yes
2,C1,0.1184,600nm,A10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
2,C2,0.095100001,600nm,B3_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
2,C3,0.0973,600nm,B4_Mu37,Mu37,B329_LIKE_low,B329 mTn5::ThiE,Yes
2,C4,0.083899997,600nm,C6_Mu40,Mu40,B329_LIKE_low,B329 mTn5::Gpml,Yes
2,C5,0.1043,600nm,C10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
2,C6,0.085199997,600nm,D1_Mu36,Mu36,B329_LIKE_low,B329 mTn5::pqqF_2,Yes
2,C7,0.108099997,600nm,D2_Mu38,Mu38,B329_LIKE_low,B329 mTn5::zorA1,Yes
2,C8,0.090099998,600nm,D10_Mu39,Mu39,B329_LIKE_low,B329 mTn5::pqq-DH_2,Yes
2,C9,0.086900003,600nm,E2_Mu35,Mu35,B329_LIKE_low,B329 mTn5::pqqF_1,Yes
2,C10,0.112599999,600nm,E10_Mu33,Mu33,B329_LIKE_low,B329 mTn5::GalE,Yes
2,C11,0.1175,600nm,E11_Mu30,Mu30,B329_LIKE,B329 mTn5,Yes
2,C12,0.120700002,600nm,E12_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
2,D1,0.118500002,600nm,F2_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
2,D2,0.102600001,600nm,F6_Mu32,Mu32,B329_LIKE,B329 mTn5,Yes
2,D3,0.112199999,600nm,F11_Mu31,Mu31,B329_LIKE,B329 mTn5,Yes
2,D4,0.0867,600nm,G11_Mu34,Mu34,B329_LIKE_low,B329 mTn5::pqq-DH_1,Yes
2,D5,0.100299999,600nm,A10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
2,D6,0.093800001,600nm,B3_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
2,D7,0.090800002,600nm,B4_Mu37,Mu37,B329_LIKE_low,B329 mTn5::ThiE,Yes
2,D8,0.083300002,600nm,C6_Mu40,Mu40,B329_LIKE_low,B329 mTn5::Gpml,Yes
2,D9,0.102899998,600nm,C10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
2,D10,0.088699996,600nm,D1_Mu36,Mu36,B329_LIKE_low,B329 mTn5::pqqF_2,Yes
2,D11,0.103,600nm,D2_Mu38,Mu38,B329_LIKE_low,B329 mTn5::zorA1,Yes
2,D12,0.092699997,600nm,D10_Mu39,Mu39,B329_LIKE_low,B329 mTn5::pqq-DH_2,Yes
2,E1,0.096299998,600nm,E2_Mu35,Mu35,B329_LIKE_low,B329 mTn5::pqqF_1,Yes
2,E2,0.1021,600nm,E10_Mu33,Mu33,B329_LIKE_low,B329 mTn5::GalE,Yes
2,E3,0.108099997,600nm,E11_Mu30,Mu30,B329_LIKE,B329 mTn5,Yes
2,E4,0.105800003,600nm,E12_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
2,E5,0.103200004,600nm,F2_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
2,E6,0.101400003,600nm,F6_Mu32,Mu32,B329_LIKE,B329 mTn5,Yes
2,E7,0.137700006,600nm,F11_Mu31,Mu31,B329_LIKE,B329 mTn5,Yes
2,E8,0.097900003,600nm,G11_Mu34,Mu34,B329_LIKE_low,B329 mTn5::pqq-DH_1,Yes
2,E9,0.1131,600nm,A10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
2,E10,0.105700001,600nm,B3_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
2,E11,0.110299997,600nm,B4_Mu37,Mu37,B329_LIKE_low,B329 mTn5::ThiE,Yes
2,E12,0.085699998,600nm,C6_Mu40,Mu40,B329_LIKE_low,B329 mTn5::Gpml,Yes
2,F1,0.1184,600nm,C10_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
2,F2,0.086000003,600nm,D1_Mu36,Mu36,B329_LIKE_low,B329 mTn5::pqqF_2,Yes
2,F3,0.100699998,600nm,D2_Mu38,Mu38,B329_LIKE_low,B329 mTn5::zorA1,Yes
2,F4,0.087099999,600nm,D10_Mu39,Mu39,B329_LIKE_low,B329 mTn5::pqq-DH_2,Yes
2,F5,0.084899999,600nm,E2_Mu35,Mu35,B329_LIKE_low,B329 mTn5::pqqF_1,Yes
2,F6,0.109999999,600nm,E10_Mu33,Mu33,B329_LIKE_low,B329 mTn5::GalE,Yes
2,F7,0.103100002,600nm,E11_Mu30,Mu30,B329_LIKE,B329 mTn5,Yes
2,F8,0.104699999,600nm,E12_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
2,F9,0.118799999,600nm,F2_B329_LIKE,B329_LIKE,B329_LIKE,B329 mTn5,Yes
2,F10,0.104099996,600nm,F6_Mu32,Mu32,B329_LIKE,B329 mTn5,Yes
2,F11,0.113399997,600nm,F11_Mu31,Mu31,B329_LIKE,B329 mTn5,Yes
2,F12,0.0977,600nm,G11_Mu34,Mu34,B329_LIKE_low,B329 mTn5::pqq-DH_1,Yes
2,G1,0.119599998,600nm,B329_WT,B329_WT,B329_WT,B329_WT,Yes
