Rep,Pathogens,Disease,Disease.2,Experiment,Treatment,Date,Foliar.Disk,Sporulation
82,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D1,60
83,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D1,40
84,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D1,20
85,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D2,100
86,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D2,100
87,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D2,100
88,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D3,100
89,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D3,100
90,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D3,100
91,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D4,100
92,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D4,100
93,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D4,100
94,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D5,100
95,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D5,100
96,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D5,100
97,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D6,100
98,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D6,100
99,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D6,100
100,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D7,100
101,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D7,100
102,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D7,100
103,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D8,100
104,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D8,100
105,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D8,100
106,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D9,100
107,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D9,100
108,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,7.5mM,02.12.25,D9,100
109,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D1,10
110,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D1,30
111,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D1,30
112,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D2,100
113,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D2,100
114,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D2,100
115,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D3,100
116,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D3,100
117,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D3,100
118,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D4,100
119,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D4,100
120,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D4,100
121,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D5,100
122,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D5,100
123,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D5,100
124,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D6,100
125,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D6,100
126,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D6,100
127,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D7,100
128,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D7,100
129,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D7,100
130,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D8,100
131,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D8,100
132,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D8,100
133,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D9,100
134,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D9,100
135,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,15mM,02.12.25,D9,100
136,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D1,15
137,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D1,10
138,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D1,10
139,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D2,100
140,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D2,100
141,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D2,100
142,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D3,100
143,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D3,100
144,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D3,100
145,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D4,100
146,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D4,100
147,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D4,100
148,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D5,100
149,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D5,100
150,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D5,100
151,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D6,100
152,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D6,100
153,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D6,100
154,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D7,100
155,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D7,100
156,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D7,100
157,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D8,100
158,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D8,100
159,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D8,100
160,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D9,100
161,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D9,100
162,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,30mM,02.12.25,D9,100
163,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D1,40
164,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D1,20
165,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D1,0
166,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D2,100
167,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D2,100
168,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D2,100
169,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D3,100
170,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D3,100
171,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D3,100
172,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D4,100
173,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D4,100
174,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D4,100
175,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D5,100
176,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D5,100
177,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D5,100
178,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D6,100
179,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D6,100
180,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D6,100
181,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D7,100
182,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D7,100
183,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D7,100
184,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D8,100
185,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D8,100
186,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D8,100
187,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D9,100
188,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D9,100
189,P.viticola,Downy mildew,P.viticola (Downy mildew),R1,75mM,02.12.25,D9,100
190,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D1,100
191,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D1,100
192,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D1,100
193,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D2,100
194,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D2,100
195,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D2,100
196,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D3,100
197,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D3,100
198,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D3,100
199,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D4,100
200,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D4,100
201,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D4,100
202,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D5,100
203,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D5,100
204,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D5,100
205,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D6,100
206,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D6,100
207,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D6,100
208,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D7,100
209,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D7,100
210,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D7,100
211,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D8,100
212,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D8,100
213,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D8,100
214,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D9,100
215,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D9,100
216,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,TNT,04.12.25,D9,100
217,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D1,80
218,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D1,80
219,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D1,80
220,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D2,100
221,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D2,100
222,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D2,100
223,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D3,100
224,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D3,100
225,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D3,100
226,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D4,100
227,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D4,100
228,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D4,100
229,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D5,100
230,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D5,100
231,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D5,100
232,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D6,100
233,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D6,100
234,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D6,100
235,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D7,100
236,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D7,100
237,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D7,100
238,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D8,100
239,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D8,100
240,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D8,100
241,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D9,100
242,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D9,100
243,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,1.9mM,04.12.25,D9,100
244,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D1,100
245,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D1,100
246,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D1,100
247,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D2,100
248,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D2,100
249,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D2,100
250,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D3,100
251,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D3,100
252,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D3,100
253,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D4,100
254,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D4,100
255,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D4,100
256,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D5,100
257,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D5,100
258,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D5,100
259,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D6,100
260,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D6,100
261,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D6,100
262,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D7,100
263,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D7,100
264,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D7,100
265,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D8,100
266,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D8,100
267,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D8,100
268,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D9,100
269,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D9,100
270,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,3.75mM,04.12.25,D9,100
271,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D1,80
272,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D1,80
273,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D1,80
274,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D2,80
275,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D2,100
276,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D2,100
277,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D3,100
278,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D3,100
279,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D3,100
280,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D4,100
281,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D4,100
282,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D4,100
283,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D5,100
284,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D5,100
285,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D5,100
286,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D6,100
287,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D6,100
288,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D6,100
289,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D7,100
290,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D7,100
291,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D7,100
292,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D8,100
293,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D8,100
294,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D8,100
295,P.viticola,Downy mildew,P.viticola (Downy mildew),R2,7.5mM,04.12.25,D9,100
