Rows,ID2,System,Plant,Experiment,Bio_rep,Tech_Rep,Microbes,Treatment,Element,Weight_length,Nb,Microbial_ID
44,Flowpots_Arabidopsis_thaliana_Pu1_1_4_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,4,MF,3OMG,Shoot,69.2,5,Pathogens
45,Flowpots_Arabidopsis_thaliana_Pu1_1_5_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,5,MF,3OMG,Shoot,130.6,3,Pathogens
46,Flowpots_Arabidopsis_thaliana_Pu1_1_6_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,6,MF,3OMG,Shoot,140.7,5,Pathogens
47,Flowpots_Arabidopsis_thaliana_Pu1_1_7_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,7,MF,3OMG,Shoot,76.7,5,Pathogens
48,Flowpots_Arabidopsis_thaliana_Pu1_1_8_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,8,MF,3OMG,Shoot,86.7,5,Pathogens
49,Flowpots_Arabidopsis_thaliana_Pu1_1_1_Pu_M9_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,1,Pu,Water,Shoot,3.6,1,Pathogens
50,Flowpots_Arabidopsis_thaliana_Pu1_1_2_Pu_M9_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,2,Pu,Water,Shoot,1.4,3,Pathogens
51,Flowpots_Arabidopsis_thaliana_Pu1_1_3_Pu_M9_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,3,Pu,Water,Shoot,15.3,1,Pathogens
52,Flowpots_Arabidopsis_thaliana_Pu1_1_4_Pu_M9_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,4,Pu,Water,Shoot,28.6,1,Pathogens
53,Flowpots_Arabidopsis_thaliana_Pu1_1_5_Pu_M9_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,5,Pu,Water,Shoot,0,0,Pathogens
54,Flowpots_Arabidopsis_thaliana_Pu1_1_6_Pu_M9_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,6,Pu,Water,Shoot,67.8,3,Pathogens
55,Flowpots_Arabidopsis_thaliana_Pu1_1_7_Pu_M9_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,7,Pu,Water,Shoot,81.4,2,Pathogens
56,Flowpots_Arabidopsis_thaliana_Pu1_1_8_Pu_M9_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,8,Pu,Water,Shoot,28.3,3,Pathogens
57,Flowpots_Arabidopsis_thaliana_Pu1_1_1_Pu_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,1,Pu,3OMG,Shoot,1.5,1,Pathogens
58,Flowpots_Arabidopsis_thaliana_Pu1_1_2_Pu_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,2,Pu,3OMG,Shoot,0,0,Pathogens
59,Flowpots_Arabidopsis_thaliana_Pu1_1_3_Pu_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,3,Pu,3OMG,Shoot,0,0,Pathogens
60,Flowpots_Arabidopsis_thaliana_Pu1_1_4_Pu_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,4,Pu,3OMG,Shoot,0.6,1,Pathogens
61,Flowpots_Arabidopsis_thaliana_Pu1_1_5_Pu_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,5,Pu,3OMG,Shoot,132.4,5,Pathogens
62,Flowpots_Arabidopsis_thaliana_Pu1_1_6_Pu_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,6,Pu,3OMG,Shoot,99,5,Pathogens
63,Flowpots_Arabidopsis_thaliana_Pu1_1_7_Pu_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,7,Pu,3OMG,Shoot,41.3,3,Pathogens
64,Flowpots_Arabidopsis_thaliana_Pu1_1_8_Pu_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,Pu1,1,8,Pu,3OMG,Shoot,9.2,3,Pathogens
65,Flowpots_Arabidopsis_thaliana_FPath1_1_1_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,MF,Water,Shoot,8.1,5,Pathogens
66,Flowpots_Arabidopsis_thaliana_FPath1_1_2_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,MF,Water,Shoot,10.3,4,Pathogens
67,Flowpots_Arabidopsis_thaliana_FPath1_1_3_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,MF,Water,Shoot,13.2,5,Pathogens
68,Flowpots_Arabidopsis_thaliana_FPath1_1_4_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,MF,Water,Shoot,11.2,4,Pathogens
69,Flowpots_Arabidopsis_thaliana_FPath1_1_1_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,MF,3OMG,Shoot,18.2,5,Pathogens
70,Flowpots_Arabidopsis_thaliana_FPath1_1_2_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,MF,3OMG,Shoot,12.6,5,Pathogens
71,Flowpots_Arabidopsis_thaliana_FPath1_1_3_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,MF,3OMG,Shoot,11.9,4,Pathogens
72,Flowpots_Arabidopsis_thaliana_FPath1_1_4_MF_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,MF,3OMG,Shoot,9.4,4,Pathogens
73,Flowpots_Arabidopsis_thaliana_FPath1_1_1_F16_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,F16,Water,Shoot,15.4,4,Pathogens
74,Flowpots_Arabidopsis_thaliana_FPath1_1_2_F16_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,F16,Water,Shoot,7.9,2,Pathogens
75,Flowpots_Arabidopsis_thaliana_FPath1_1_3_F16_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,F16,Water,Shoot,11.5,3,Pathogens
76,Flowpots_Arabidopsis_thaliana_FPath1_1_4_F16_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,F16,Water,Shoot,15.1,4,Pathogens
77,Flowpots_Arabidopsis_thaliana_FPath1_1_1_F16_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,F16,3OMG,Shoot,25,5,Pathogens
78,Flowpots_Arabidopsis_thaliana_FPath1_1_2_F16_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,F16,3OMG,Shoot,20.7,4,Pathogens
79,Flowpots_Arabidopsis_thaliana_FPath1_1_3_F16_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,F16,3OMG,Shoot,19,3,Pathogens
80,Flowpots_Arabidopsis_thaliana_FPath1_1_4_F16_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,F16,3OMG,Shoot,15.7,2,Pathogens
81,Flowpots_Arabidopsis_thaliana_FPath1_1_1_F44_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,F44,Water,Shoot,22.2,2,Pathogens
82,Flowpots_Arabidopsis_thaliana_FPath1_1_2_F44_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,F44,Water,Shoot,34,3,Pathogens
83,Flowpots_Arabidopsis_thaliana_FPath1_1_3_F44_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,F44,Water,Shoot,36,4,Pathogens
84,Flowpots_Arabidopsis_thaliana_FPath1_1_4_F44_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,F44,Water,Shoot,20.5,2,Pathogens
85,Flowpots_Arabidopsis_thaliana_FPath1_1_1_F44_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,F44,3OMG,Shoot,25,5,Pathogens
86,Flowpots_Arabidopsis_thaliana_FPath1_1_2_F44_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,F44,3OMG,Shoot,26.7,4,Pathogens
87,Flowpots_Arabidopsis_thaliana_FPath1_1_3_F44_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,F44,3OMG,Shoot,29,5,Pathogens
88,Flowpots_Arabidopsis_thaliana_FPath1_1_4_F44_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,F44,3OMG,Shoot,34.7,6,Pathogens
89,Flowpots_Arabidopsis_thaliana_FPath1_1_1_F64_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,F64,Water,Shoot,40.5,4,Pathogens
90,Flowpots_Arabidopsis_thaliana_FPath1_1_2_F64_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,F64,Water,Shoot,29.1,3,Pathogens
91,Flowpots_Arabidopsis_thaliana_FPath1_1_3_F64_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,F64,Water,Shoot,27.6,4,Pathogens
92,Flowpots_Arabidopsis_thaliana_FPath1_1_4_F64_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,F64,Water,Shoot,6,1,Pathogens
93,Flowpots_Arabidopsis_thaliana_FPath1_1_1_F64_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,F64,3OMG,Shoot,26.8,4,Pathogens
94,Flowpots_Arabidopsis_thaliana_FPath1_1_2_F64_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,F64,3OMG,Shoot,36.1,5,Pathogens
95,Flowpots_Arabidopsis_thaliana_FPath1_1_3_F64_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,F64,3OMG,Shoot,14,3,Pathogens
96,Flowpots_Arabidopsis_thaliana_FPath1_1_4_F64_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,F64,3OMG,Shoot,24.2,4,Pathogens
97,Flowpots_Arabidopsis_thaliana_FPath1_1_1_F96_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,F96,Water,Shoot,0,0,Pathogens
98,Flowpots_Arabidopsis_thaliana_FPath1_1_2_F96_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,F96,Water,Shoot,6,1,Pathogens
99,Flowpots_Arabidopsis_thaliana_FPath1_1_3_F96_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,F96,Water,Shoot,7.8,1,Pathogens
100,Flowpots_Arabidopsis_thaliana_FPath1_1_4_F96_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,F96,Water,Shoot,0,0,Pathogens
101,Flowpots_Arabidopsis_thaliana_FPath1_1_1_F96_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,F96,3OMG,Shoot,37.3,4,Pathogens
102,Flowpots_Arabidopsis_thaliana_FPath1_1_2_F96_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,F96,3OMG,Shoot,9,1,Pathogens
103,Flowpots_Arabidopsis_thaliana_FPath1_1_3_F96_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,F96,3OMG,Shoot,17.6,3,Pathogens
104,Flowpots_Arabidopsis_thaliana_FPath1_1_4_F96_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,F96,3OMG,Shoot,17.4,2,Pathogens
105,Flowpots_Arabidopsis_thaliana_FPath1_1_1_F100_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,F100,Water,Shoot,51.6,4,Pathogens
106,Flowpots_Arabidopsis_thaliana_FPath1_1_2_F100_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,F100,Water,Shoot,24.5,2,Pathogens
107,Flowpots_Arabidopsis_thaliana_FPath1_1_3_F100_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,F100,Water,Shoot,51.8,5,Pathogens
108,Flowpots_Arabidopsis_thaliana_FPath1_1_4_F100_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,F100,Water,Shoot,34.9,3,Pathogens
109,Flowpots_Arabidopsis_thaliana_FPath1_1_1_F100_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,F100,3OMG,Shoot,11.6,4,Pathogens
110,Flowpots_Arabidopsis_thaliana_FPath1_1_2_F100_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,F100,3OMG,Shoot,12.5,4,Pathogens
111,Flowpots_Arabidopsis_thaliana_FPath1_1_3_F100_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,F100,3OMG,Shoot,17,5,Pathogens
112,Flowpots_Arabidopsis_thaliana_FPath1_1_4_F100_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,F100,3OMG,Shoot,12.9,4,Pathogens
113,Flowpots_Arabidopsis_thaliana_FPath1_1_1_F117_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,F117,Water,Shoot,13.1,3,Pathogens
114,Flowpots_Arabidopsis_thaliana_FPath1_1_2_F117_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,F117,Water,Shoot,27.6,4,Pathogens
115,Flowpots_Arabidopsis_thaliana_FPath1_1_3_F117_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,F117,Water,Shoot,10,2,Pathogens
116,Flowpots_Arabidopsis_thaliana_FPath1_1_4_F117_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,F117,Water,Shoot,22.2,5,Pathogens
117,Flowpots_Arabidopsis_thaliana_FPath1_1_1_F117_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,F117,3OMG,Shoot,40.5,5,Pathogens
118,Flowpots_Arabidopsis_thaliana_FPath1_1_2_F117_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,F117,3OMG,Shoot,10.1,2,Pathogens
119,Flowpots_Arabidopsis_thaliana_FPath1_1_3_F117_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,F117,3OMG,Shoot,30.2,5,Pathogens
120,Flowpots_Arabidopsis_thaliana_FPath1_1_4_F117_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,F117,3OMG,Shoot,37.6,5,Pathogens
121,Flowpots_Arabidopsis_thaliana_FPath1_1_1_F147_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,F147,Water,Shoot,0,0,Pathogens
122,Flowpots_Arabidopsis_thaliana_FPath1_1_2_F147_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,F147,Water,Shoot,0,0,Pathogens
123,Flowpots_Arabidopsis_thaliana_FPath1_1_3_F147_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,F147,Water,Shoot,0,0,Pathogens
124,Flowpots_Arabidopsis_thaliana_FPath1_1_4_F147_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,F147,Water,Shoot,0,0,Pathogens
125,Flowpots_Arabidopsis_thaliana_FPath1_1_1_F147_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,F147,3OMG,Shoot,29.4,4,Pathogens
126,Flowpots_Arabidopsis_thaliana_FPath1_1_2_F147_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,F147,3OMG,Shoot,20.4,3,Pathogens
127,Flowpots_Arabidopsis_thaliana_FPath1_1_3_F147_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,F147,3OMG,Shoot,46.7,4,Pathogens
128,Flowpots_Arabidopsis_thaliana_FPath1_1_4_F147_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,F147,3OMG,Shoot,18.2,2,Pathogens
129,Flowpots_Arabidopsis_thaliana_FPath1_1_1_F212_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,F212,Water,Shoot,38.8,3,Pathogens
130,Flowpots_Arabidopsis_thaliana_FPath1_1_2_F212_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,F212,Water,Shoot,52,4,Pathogens
131,Flowpots_Arabidopsis_thaliana_FPath1_1_3_F212_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,F212,Water,Shoot,14.5,2,Pathogens
132,Flowpots_Arabidopsis_thaliana_FPath1_1_4_F212_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,F212,Water,Shoot,20.2,2,Pathogens
133,Flowpots_Arabidopsis_thaliana_FPath1_1_1_F212_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,F212,3OMG,Shoot,22.5,4,Pathogens
134,Flowpots_Arabidopsis_thaliana_FPath1_1_2_F212_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,F212,3OMG,Shoot,27.4,5,Pathogens
135,Flowpots_Arabidopsis_thaliana_FPath1_1_3_F212_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,F212,3OMG,Shoot,17,3,Pathogens
136,Flowpots_Arabidopsis_thaliana_FPath1_1_4_F212_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,F212,3OMG,Shoot,19.5,3,Pathogens
137,Flowpots_Arabidopsis_thaliana_FPath1_1_1_F243_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,F243,Water,Shoot,38.3,6,Pathogens
138,Flowpots_Arabidopsis_thaliana_FPath1_1_2_F243_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,F243,Water,Shoot,17.6,4,Pathogens
139,Flowpots_Arabidopsis_thaliana_FPath1_1_3_F243_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,F243,Water,Shoot,41.6,4,Pathogens
140,Flowpots_Arabidopsis_thaliana_FPath1_1_4_F243_M9_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,F243,Water,Shoot,55.7,6,Pathogens
141,Flowpots_Arabidopsis_thaliana_FPath1_1_1_F243_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,1,F243,3OMG,Shoot,36.9,6,Pathogens
142,Flowpots_Arabidopsis_thaliana_FPath1_1_2_F243_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,2,F243,3OMG,Shoot,26.9,4,Pathogens
143,Flowpots_Arabidopsis_thaliana_FPath1_1_3_F243_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,3,F243,3OMG,Shoot,25.4,4,Pathogens
144,Flowpots_Arabidopsis_thaliana_FPath1_1_4_F243_M9+3OMG_Shoot,Flowpots,Arabidopsis_thaliana,F_Path,1,4,F243,3OMG,Shoot,45.6,6,Pathogens
145,Flowpots_Arabidopsis_thaliana_RsPu2_2_1_MF_M9_Shoot,Flowpots,Arabidopsis_thaliana,RsPu2,2,1,MF,Water,Shoot,59.3,4,Pathogens
